State,Company,City,Number of Workers,Received Date,Effective Date,Layoff/Closure,Temporary/Permanent,Union,Region,County,Industry,Notes
California,Arris Composites,765 Heinz Avenue Berkeley CA 94710,1,01/10/2023,11/07/2022,Layoff Permanent,,,,Alameda County,,
California,Arris Composites,715 Dwight Way Berkeley CA 94710,1,01/10/2023,11/07/2022,Layoff Permanent,,,,Alameda County,,
California,Arris Composites,710 Bancroft Way Berkeley CA 94710,62,01/10/2023,11/07/2022,Layoff Permanent,,,,Alameda County,,
California,Jabil Inc.,122 Lindbergh Avenue Livermore CA 94551,39,01/10/2023,03/07/2023,Layoff Permanent,,,,Alameda County,,
California,Jabil Inc.,4050 Technology Place Fremont CA 94538,166,01/10/2023,03/07/2023,Layoff Permanent,,,,Alameda County,,
California,Piedmont Airlines Inc. at Long Beach Airport,4100 Donald Douglas Drive Long Beach CA 90808,43,01/10/2023,02/28/2023,Closure Permanent,,,,Los Angeles County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,1 Hacker Way Menlo Park-1 hacker CA 94025,34,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,1 Facebook Way Menlo Park - facebook CA 94025,22,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,180 Jefferson Drive Menlo Park-180 jeffer CA 94025,9,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,100 Independence Drive Menlo Park-100 independence CA 94025,4,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,135 Constitution Drive Menlo Park-135 const CA 94025,3,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,162 Jefferson Drive Menlo Park-162 jeffer CA 94025,8,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,190 Jefferson Drive Menlo Park-190 jeffer CA 94025,1,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,200 Jefferson Drive Menlo Park-200 jeffer CA 94025,1,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,220 Jefferson Drive Menlo Park-220 jeffer CA 94025,1,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,125 Constitution Drive Menlo Park-125 const CA 94025,16,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,300 Constitution Drive Menlo Park-300 const CA 94025,10,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,Flagship Facility Services Inc. at Meta Platforms Inc.,305 Constitution Drive Menlo Park-305 const CA 94025,17,01/10/2023,03/06/2023,Layoff Permanent,,,,San Mateo County,,
California,RUME Medical Group,18800 Delaware St. Suite 800 Huntington Beach CA 92648,46,01/10/2023,02/26/2023,Layoff Permanent,,,,Orange County,,
California,Prime-Line Products,26950 San Bernardino Avenue Redlands CA 92374,116,01/10/2023,03/31/2023,Closure Permanent,,,,San Bernardino County,,
California,Prime-Line Products,26950 San Bernardino Avenue Redlands CA 92374,3,01/10/2023,06/30/2023,Closure Permanent,,,,San Bernardino County,,
California,Cue Health,4980 Carroll Canyon Road #100 Moda South San Diego CA 92121,17,01/10/2023,03/07/2023,Layoff Permanent,,,,San Diego County,,
California,Cue Health,4980 Carroll Canyon Road #110 Moda North San Diegoc CA 92121,12,01/10/2023,03/07/2023,Layoff Permanent,,,,San Diego County,,
California,Cue Health,Moda North II 5501 Oberlin Drive #105 San Diego CA 92121,8,01/10/2023,03/07/2023,Layoff Permanent,,,,San Diego County,,
California,Cue Health,Moda West 4940 Carroll Canyon Road #120 San Diego CA 92121,7,01/10/2023,03/07/2023,Layoff Permanent,,,,San Diego County,,
California,Cue Health,6225 Nancy Ridge Drive Nancy Ridge San Diego CA 92121,39,01/10/2023,03/07/2023,Layoff Permanent,,,,San Diego County,,
California,Cue Health,6330 Nancy Ridge Drive #107&108 Nancy Ridge II San Diego CA 92121,10,01/10/2023,03/07/2023,Layoff Permanent,,,,San Diego County,,
California,Cue Health,9877 Waples St. Waples San Diego CA 92121,161,01/10/2023,03/07/2023,Layoff Permanent,,,,San Diego County,,
California,Cue Health,9609 Waples St. Waples II San Diego CA 92121,4,01/10/2023,03/07/2023,Layoff Permanent,,,,San Diego County,,
California,Cue Health,2620 Commerce Way Suite A/B Vista Vista CA 92081,63,01/10/2023,03/07/2023,Layoff Permanent,,,,San Diego County,,
California,Cue Health,2405 Dogwood Way Vista II Vista CA 92081,3,01/10/2023,03/07/2023,Layoff Permanent,,,,San Diego County,,
