State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Texas,Corix Utility Services,Austin,49,6/23/2017,8/25/2017,,,,Capital Area WDA,Travis,,
Texas,Sears Holdings - #06197,Houston,8,6/22/2017,9/10/2017,,,,Gulf Coast WDA,Harris,,
Texas,Sears Holdings - #06899,Friendswood,8,6/22/2017,9/17/2017,,,,Gulf Coast WDA,Harris,,
Texas,Sears Holdings -#01197,Houston,96,6/22/2017,9/17/2017,,,,Gulf Coast WDA,Harris,,
Texas,Sears Holdings-#01257,Friendswood,69,6/22/2017,9/17/2017,,,,Gulf Coast WDA,Harris,,
Texas,Ignite Restaurant Group,Houston,87,6/22/2017,8/22/2017,,,,Gulf Coast WDA,Harris,,
Texas,Hyatt Corp dba Trvaasa Austin,Austin,114,6/20/2017,9/1/2017,,,,Capital Area WDA,Travis,,
Texas,Rowan Companies,Houston,50,6/20/2017,8/21/2017,,,,Gulf Coast WDA,Harris,,
Texas,"Brock Services, LLC - TX Eastman",Longview,226,6/15/2017,8/21/2017,,,,East Texas WDA,Gregg,,
Texas,GE Manufacturing Services - GEMS,Ft. Worth,19,6/15/2017,6/15/2017,,,,North Central Texas WDA,Denton,,
Texas,XTO Energy Inc.,Ft. Worth,67,6/2/2017,8/2/2017,,,,Tarrant County WDA,Tarrant,,
Texas,XTO Energy Inc.,Ft. Worth,67,6/2/2017,8/2/2017,,,,Tarrant County WDA,Tarrant,,
Texas,Freeport-McMoRan Oil & Gas,Houston,26,6/1/2017,7/31/2017,,,,Gulf Coast WDA,Harris,,
Texas,East Texas Medical Center- Trinity,Trinity,60,5/31/2017,8/1/2017,,,,Deep East Texas WDA,Trinity,,
Texas,Boeing Company,Houston,2,5/29/2017,7/21/2017,,,,Gulf Coast WDA,Harris,,
Texas,Kellogg Co. - Houston Distribution Center,Houston,220,5/26/2017,7/26/2017,,,,Gulf Coast WDA,Harris,,
Texas,Kellogg Co. - Dallas Distribution Center,Ft. Worth,201,5/26/2017,7/29/2017,,,,Tarrant County WDA,Tarrant,,
Texas,Rowan Companies,Houston,100,5/24/2017,7/21/2017,,,,Gulf Coast WDA,Harris,,
Texas,Macy's-Temple,Temple,56,5/23/2017,7/21/2017,,,,Central Texas WDA,Bell,,
Texas,Aramark-Univ. of Houston,Houston,407,5/23/2017,7/22/2017,,,,Gulf Coast WDA,Harris,,
Texas,Color Spot Nurseries - Sanger,Sanger,65,5/22/2017,7/31/2017,,,,North Central Texas WDA,Denton,,
Texas,Randalls-Houston Distribution Center,Houston,199,5/16/2017,5/22/2017,,,,Gulf Coast WDA,Harris,,
Texas,Randalls-Houston Division,Houston,134,5/16/2017,6/17/2017,,,,Gulf Coast WDA,Harris,,
Texas,"Delek US Holdings, Inc.-Alon USA Energy, Inc.",Dallas,92,5/15/2017,7/14/2017,,,,Dallas County WDA,Dallas,,
Texas,LifeCare Hospitals of S. TX-N. Jackson,McAllen,166,5/12/2017,5/18/2017,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,LifeCare Hospitals of S. TX-South M St.,McAllen,39,5/12/2017,5/18/2017,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,Leggett & Platt-Dallas,Dallas,59,5/12/2017,6/17/2017,,,,Dallas County WDA,Dallas,,
Texas,"Trelleborg Offshore US, Inc.-Rankin Road",Houston,60,5/11/2017,5/11/2017,,,,Gulf Coast WDA,Harris,,
Texas,Ingram Micro-Touchstone Wireless Repair and Logistics,Ft. Worth,140,5/10/2017,5/8/2017,,,,Tarrant County WDA,Tarrant,,
Texas,Capitol Wright Dist-New Braunfels Facility,New Braunfels,79,5/5/2017,7/5/2017,,,,Alamo WDA,Comal,,
Texas,Capitol Wright Dist - Bastrop Facility,Bastrop,63,5/5/2017,7/5/2017,,,,Rural Capital WDA,Bastrop,,
Texas,Maximus-Austin,Austin,88,5/1/2017,6/30/2017,,,,Capital Area WDA,Travis,,
Texas,Triumph Southwest LP dba Kindred Hospital Town & Country,Houston,133,4/28/2017,6/27/2017,,,,Gulf Coast WDA,Harris,,
Texas,Freeport-McMoRan Oil & Gas,Houston,25,4/28/2017,6/30/2017,,,,Gulf Coast WDA,Harris,,
Texas,"Zachry Industrial, Inc-Phillips 66-Sweeny Refinery",Old Ocean,204,4/28/2017,6/6/2017,,,,Gulf Coast WDA,Brazoria,,
Texas,"World Wide Technology, Inc.",Lewisville,156,4/27/2017,7/10/2017,,,,North Central Texas WDA,Denton,,
Texas,Boeing Company,Houston,1,4/25/2017,6/23/2017,,,,Gulf Coast WDA,Harris,,
Texas,CoreCivic-Bartlett State Jail,Bartlett,181,4/25/2017,6/24/2017,,,,Rural Capital WDA,Williamson,,
Texas,"United Group Service, Inc. (Pinnacle Partner Solutions",Lake Dallas,12,4/24/2017,6/30/2017,,,,North Central Texas WDA,Denton,,
Texas,Management & Training Corp-West TX Intermediate Sanction Facility,Brownfield,64,4/21/2017,6/2/2017,,,,South Plains WDA,Terry,,
Texas,Management & Training Corp-Bridgeport,Bridgeport,41,4/21/2017,6/2/2017,,,,North Central Texas WDA,Wise,,
Texas,DaVita Rx,Coppell,7,4/19/2017,6/19/2017,,,,Dallas County WDA,Dallas,,
Texas,The Houston City Club,Houston,128,4/11/2017,6/12/2017,,,,Gulf Coast WDA,Harris,,
Texas,Freeport-McMoRan Oil & Gas,Houston,24,4/6/2017,6/5/2017,,,,Gulf Coast WDA,Harris,,
Texas,Dollar Express - #5276,El Paso,5,4/3/2017,6/30/2017,,,,Upper Rio Grande WDA,El Paso,,
