State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Texas,"RateGenius Loan Services, Inc.",Austin,139,1/12/23,1/11/23,,,,Capital Area WDA,Travis,,
Texas,Ryder Inc.,Austin,801,1/11/23,3/18/23,,,,Capital Area WDA,Travis,,
Texas,TUSimple,Dallas,76,1/10/23,12/21/23,,,,Dallas County WDA,Dallas,,
Texas,Southwest Key Programs-Casa Blanca,San Antonio,85,1/9/23,2/14/23,,,,Alamo WDA,Bexar,,
Texas,Information Technology Coalition Inc. (Irving),Irving,370,1/5/23,1/31/23,,,,Dallas County WDA,Dallas,,
Texas,"Monitronics International, Inc. dba Brinks Home",Dallas,20,1/6/23,3/3/23,,,,Dallas County WDA,Dallas,,
Texas,HII Mission Technologies,San Antonio,68,12/21/22,2/28/23,,,,Alamo WDA,Bexar,,
Texas,American General Life Insurance Company,Amarillo,461,12/2/22,2/1/23,,,,Panhandle WDA,Potter,,
Texas,Catalent Cell Therapy,Webster,77,11/22/22,1/15/23,,,,Gulf Coast WDA,Harris,,
Texas,Home Point Financial Corporation,Dallas,49,11/18/22,11/18/22,,,,Dallas County WDA,Collin,,
Texas,"Bedding Acquisition, LLC",Grand Prairie,95,11/18/22,1/16/23,,,,Tarrant County WDA,Tarrant,,
Texas,"Meta Platforms, Inc. (West 3rd)",Austin,154,11/16/22,1/13/23,,,,Capital Area WDA,Travis,,
Texas,"Meta Platforms, Inc, (Alterra Pkwy.)",Austin,7,11/16/22,1/13/23,,,,Capital Area WDA,Travis,,
Texas,"Meta Platforms, Inc. (Mcallen Pass)",Austin,11,11/16/22,1/13/23,,,,Capital Area WDA,Travis,,
Texas,"Meta Platforms, Inc.(W,6th)",Austin,50,11/16/22,1/13/23,,,,Capital Area WDA,Travis,,
Texas,Hill Defense and Federal Solutions,San Antonio,134,11/8/22,12/12/22,,,,Alamo WDA,Bexar,,
Texas,Sodexo - CHI Saint Luke's McNair,Houston,15,11/10/22,12/15/22,,,,Gulf Coast WDA,Harris,,
Texas,Sodexo - CHI St Luke's Baylor Medical Center,Houston,99,11/10/22,12/15/22,,,,Gulf Coast WDA,Harris,,
Texas,"COSMAX NBT USA, INC #1",Garland,36,11/11/22,10/28/22,,,,Dallas County WDA,Dallas,,
Texas,Hallmark Financial Services,Dallas,83,11/11/22,12/31/22,,,,Dallas County WDA,Dallas,,
Texas,iBio CDMO,Bryan,50,11/2/22,1/2/23,,,,Brazos Valley WDA,Brazos,,
Texas,"Argo AI, LLC. (Austin Congress)",Austin,10,10/27/22,11/1/22,,,,Capital Area WDA,Travis,,
Texas,"Argo AI, LLC. (Austin 7th Street)",Austin,68,10/27/22,11/1/22,,,,Capital Area WDA,Travis,,
Texas,"Westex Security Services, Inc.",Houston,7,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,DXP Enterprises,Houston,4,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,HJH Houston 1,Houston,1,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,Jacob Engineering,Houston,3,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,"Sutton Court Homeowner's Association, Inc.",Houston,2,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,Third Coast Terminals,Pearland,3,10/24/22,12/21/22,,,,Gulf Coast WDA,Brazoria,,
Texas,Center Point Towers,Houston,204,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,Center Point Platinum,Houston,5,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,Center Point Harrisburg Service Center,Houston,5,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,Center Point South Houston Center Complex,Houston,6,10/24/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,Centerpoint Addicks Operation Center,Houston,10,10/25/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,Center Point Energy Control Data Center,Houston,10,10/25/22,12/21/22,,,,Gulf Coast WDA,Harris,,
Texas,"GXO Logistics of Texas, LLC (Lancaster)",Lancaster,206,10/13/22,12/10/22,,,,Dallas County WDA,Dallas,,
Texas,"GXO Logistics of Texas, LLC (Dallas)",Dallas,56,10/13/22,12/10/22,,,,Dallas County WDA,Dallas,,
Texas,Valley International Cold Storage LLC,Harlingen,64,10/4/22,9/15/22,,,,Cameron County WDA,Cameron,,
Texas,"Rev.com, Inc",Austin,85,10/7/22,10/21/22,,,,Capital Area WDA,Travis,,
Texas,Quarter North Energy LLC,Houston,43,10/3/22,11/30/22,,,,Gulf Coast WDA,Harris,,
Texas,The James Skinner Company,Paris,179,9/22/22,9/22/22,,,,North East Texas WDA,Lamar,,
Texas,Rubbermaid Commercial Products LLc,El Paso,64,9/14/22,11/14/22,,,,Borderplexjobs WDA,El Paso,,
Texas,Sealed Air Corporation,Carrollton,49,9/13/22,11/18/22,,,,North Central Texas WDA,Denton,,
Texas,"S&B Fabrication Services,Ltd.",Baytown,53,9/9/22,9/7/22,,,,Gulf Coast WDA,Chambers,,
Texas,Home Point Financial Corporation,Dallas,526,8/31/22,11/1/22,,,,North Central Texas WDA,Collin,,
Texas,ASARCO Amarillo Refinery,Amarillo,57,8/29/22,10/28/22,,,,Panhandle WDA,Potter,,
Texas,"Merit Medical Systems, Inc.",Houston,117,8/29/22,10/25/22,,,,Gulf Coast WDA,Harris,,
Texas,Southern Star Express LLC - Fort Worth,Fort Worth,39,8/31/22,8/24/22,,,,North Central Texas WDA,Denton,,
Texas,"Southern Star Express, LLC (DDF8)",Arlington,55,8/30/22,9/29/22,,,,Tarrant County WDA,Tarrant,,
Texas,ABM Industries - 902,Houston,13,8/30/22,9/3/22,,,,Gulf Coast WDA,Harris,,
Texas,ABM Industries - 909,Houston,5,8/30/22,9/3/22,,,,Gulf Coast WDA,Harris,,
Texas,ABM Industries - 920,Houston,9,8/30/22,9/3/22,,,,Gulf Coast WDA,Harris,,
Texas,ABM Industries - 915 Gessner,Houston,13,8/30/22,9/3/22,,,,Gulf Coast WDA,Harris,,
Texas,ABM Industries - 1120,Houston,9,8/30/22,9/23/22,,,,Gulf Coast WDA,Harris,,
Texas,ABM Industries - 1140,Houston,8,8/30/22,9/3/22,,,,Gulf Coast WDA,Harris,,
Texas,Spirit Airlines,Dallas,134,8/19/22,9/30/22,,,,Dallas County WDA,Dallas,,
Texas,Signify Health LLC - Austin,Austin,9,8/10/22,10/1/22,,,,Capital Area WDA,Travis,,
Texas,Signify Health LLC - Dallas,Dallas,29,8/10/22,10/1/22,,,,Dallas County WDA,Dallas,,
Texas,"GXO Logistics of Texas, LLC",Fort Worth,116,7/28/22,9/30/22,,,,Tarrant County WDA,Tarrant,,
Texas,Plano Enterprise Mobility Facility,Plano,69,7/27/22,11/2/22,,,,North Central Texas WDA,Collin,,
Texas,F 45 Training Inc.,Austin,78,7/28/22,9/25/22,,,,Capital Area WDA,Travis,,
Texas,Seville Farms @ Mansfield,Mansfield,64,7/25/22,7/20/22,,,,Tarrant County WDA,Tarrant,,
Texas,Seville Farms @ Tyler,Winona,72,7/25/22,7/20/22,,,,East Texas WDA,Smith,,
Texas,Seville Farms @ Los Fresnos,Los Fresnos,92,7/25/22,7/20/22,,,,Cameron County WDA,Cameron,,
Texas,ION Geophysical Corporation,Houston,125,7/26/22,8/31/22,,,,Gulf Coast WDA,Harris,,
Texas,Pearl South Padre Island Hotel and Resort,South Padre Is.,115,7/21/22,9/18/22,,,,Cameron County WDA,Cameron,,
Texas,"Captel Service Specialists, LLC",Arlington,110,7/20/22,9/20/22,,,,Tarrant County WDA,Tarrant,,
Texas,Food City Supermarkets,El Paso,90,7/19/22,9/3/22,,,,Borderplexjobs WDA,El Paso,,
Texas,"S&B Fabrication Services,Ltd.",Baytown,83,7/13/22,9/8/22,,,,Gulf Coast WDA,Chambers,,
Texas,Multi Color Corporation,Dallas,45,7/5/22,6/28/22,,,,Dallas County WDA,Dallas,,
Texas,General Information Services dba HireRight,Dallas,36,7/1/22,9/1/22,,,,Dallas County WDA,Dallas,,
Texas,KeHe Distributors Inc.-Flower Mound,Flower Mound,313,6/30/22,8/13/22,,,,North Central Texas WDA,Denton,,
Texas,ABM@Avis DFW,Irving,143,6/29/22,8/1/22,,,,Dallas County WDA,Dallas,,
Texas,First Guaranty Mortgage Corp.,Plano,428,6/27/22,6/24/22,,,,North Central Texas WDA,Collin,,
Texas,The Coleman Company-Newell Brand,New Braunfels,47,6/27/22,8/21/22,,,,Alamo WDA,Comal,,
Texas,Zillow Group,Coppell,32,6/27/22,1/3/22,,,,Dallas County WDA,Dallas,,
Texas,"Schenker, Inc. - Kraft",Fort Worth,45,6/8/22,6/26/22,,,,Tarrant County WDA,Tarrant,,
Texas,"Schenker, Inc. - Kraft, 1006 Railhead",Fort Worth,85,6/8/22,6/26/22,,,,Tarrant County WDA,Tarrant,,
Texas,Dillard's - Wichita Falls,Wichita Falls,81,5/12/22,7/14/22,,,,North Texas WDA,Wichita,,
Texas,"Michaels Stores Procurement Company, Inc.",Fort Worth,202,4/27/22,6/24/22,,,,Tarrant County WDA,Tarrant,,
Texas,Devereux Advanced Behavioral Health,Victoria,122,3/28/22,5/31/22,,,,Golden Crescent WDA,Victoria,,
Texas,"ABM Industries Groups, LLC - Houston 1",Houston,31,3/15/22,3/31/22,,,,Gulf Coast WDA,Harris,,
Texas,"ABM Industries Groups, LLC - Houston 2",Houston,26,3/15/22,3/31/22,,,,Gulf Coast WDA,Harris,,
Texas,"ABM Industries Groups, LLC - Fulbright Tower",Houston,18,3/15/22,3/31/22,,,,Gulf Coast WDA,Harris,,
Texas,"ABM Industries Groups, LLC - Houston 4",Houston,19,3/15/22,3/31/22,,,,Gulf Coast WDA,Harris,,
Texas,"Master Brand Home Products, LLC",Weslaco,109,3/8/22,5/6/22,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,Sev1Tech,Fort Hood,62,3/7/22,3/7/22,,,,Central Texas WDA,Bell,,
Texas,Management & Training Corp. - MTC Medical LLC (Giles W. Dalby Correctional Facility),Post,206,3/1/22,5/1/22,,,,South Plains WDA,Garza,,
Texas,"Cognosante, LLC",McAllen,84,2/15/22,4/18/22,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,Amentum,New Boston,178,1/28/22,3/27/22,,,,North East Texas WDA,Bowie,,
Texas,Dynamic Foods,Lubbock,80,1/24/22,1/11/22,,,,South Plains WDA,Lubbock,,
Texas,"Stearns Lending, LLC - Corporate Dr.",Lewisville,348,1/6/22,3/13/22,,,,North Central Texas WDA,Denton,,
Texas,"Monitronics International, Inc. dba Brinks Home",Dallas,42,12/20/21,12/17/21,,,,Dallas County WDA,Dallas,,
Texas,Central Freight Lines - San Antonio,San Antonio,66,12/16/21,12/17/21,,,,Alamo WDA,Bexar,,
Texas,Central Freight Lines,Waco,153,12/16/21,12/13/21,,,,Heart of Texas WDA,McLennan,,
Texas,Central Freight Lines - Houston,Houston,162,12/16/21,12/13/21,,,,Gulf Coast WDA,Harris,,
Texas,"Central Freight Lines, Inc.",Ft. Worth,292,12/16/21,12/13/21,,,,Tarrant County WDA,Tarrant,,
Texas,"Change Healthcare Operations, LLC",Greenville,145,12/6/21,2/4/22,,,,North Central WDA,Hunt,,
Texas,Laredo Transit Management-El Metro Transit,Laredo,168,12/2/21,1/31/22,,,,South Texas WDA,Webb,,
Texas,"Marshal S. Frumin, M.D.",Sugar Land,6,12/2/21,12/31/21,,,,Gulf Coast WDA,Fort Bend,,
Texas,Cypress Creek Emergency Medical Services,Spring,102,11/23/21,11/13/21,,,,Gulf Coast WDA,Montgomery,,
Texas,Zillow Group,Coppell,32,11/4/21,1/3/22,,,,Dallas County WDA,Dallas,,
Texas,YMCA - Waco,Waco,127,11/4/21,12/31/21,,,,Heart of Texas WDA,McLennan,,
Texas,"Odle Management Group, LLC",El Paso,134,10/29/21,10/25/21,,,,Borderplexjobs WDA,El Paso,,
Texas,Luminant Mining Co.-Martin Lake Liberty Mine,Tatum,160,11/8/21,12/26/21,,,,East Texas WDA,Rusk,,
Texas,InterContinental-Stephen F Austin,Austin,35,3/5/21,11/30/20,,,,Capital Area WDA,Travis,,
Texas,NPL,Garland,60,9/29/21,10/16/21,,,,Dallas County WDA,Dallas,,
Texas,NPL - Shiloh Rd.,Garland,6,9/29/21,10/16/21,,,,Dallas County WDA,Dallas,,
Texas,The Children's Shelter-Family Tapestry,San Antonio,41,10/11/21,11/20/21,,,,Alamo WDA,Bexar,,
Texas,CEVA Logistics - Raytheon Facility,Carrollton,87,9/27/21,11/9/21,,,,North Central Texas WDA,Denton,,
Texas,Disney Streaming Technology LLC,The Woodlands,63,9/16/21,11/10/21,,,,Gulf Coast WDA,Montgomery,,
Texas,The Woodlands Enterprises LLC,The Woodlands,181,9/15/21,11/10/21,,,,Gulf Coast WDA,Montgomery,,
Texas,Amentum,New Boston,92,9/14/21,10/29/21,,,,North East Texas WDA,Bowie,,
Texas,Leidos-Killeen,Killeen,60,8/30/21,9/29/21,,,,Central Texas WDA,Bell,,
Texas,Basic Energy Services-Denver City,Denver City,57,8/20/21,10/19/21,,,,South Plains WDA,Yoakum,,
Texas,Basic Energy Services-Andrews2,Andrews,63,8/20/21,10/19/21,,,,Permian Basin WDA,Andrews,,
Texas,Basic Energy Services-Big Springs2,Big Spring,135,8/20/21,10/19/21,,,,Permian Basin WDA,Howard,,
Texas,Basic Energy Services-Ft Worth-ALM Regent,Ft. Worth,120,8/20/21,10/19/21,,,,Tarrant County WDA,Tarrant,,
Texas,Basic Energy Services-Andrews,Andrews,63,8/20/21,10/19/21,,,,Permian Basin WDA,Andrews,,
Texas,Basic Energy Services-Kennedy,Kenedy,56,8/20/21,10/19/21,,,,Gulf Coast WDA,Karnes,,
Texas,Garland Behvaioral Hospital,Garland,119,8/10/21,10/7/21,,,,Dallas County WDA,Dallas,,
Texas,Interim Healthcare-San Antonio,San Antonio,366,8/3/21,10/1/21,,,,Alamo WDA,Bexar,,
Texas,Crothall Healthcare-DeTar Healthcare,Victoria,53,8/3/21,9/30/21,,,,Golden Crescent WDA,Victoria,,
Texas,Management & Training-Willacy County Regional Correction,Raymondville,186,7/27/21,9/30/21,,,,Lower Rio Grande Valley WDA,Willacy,,
Texas,U.S. Well Services - Pleasanton,Pleasanton,66,7/12/21,9/7/21,,,,Alamo WDA,Atascosa,,
Texas,Tranter Inc.,Wichita Falls,78,7/8/21,10/1/21,,,,North Texas WDA,Wichita,,
Texas,Fusion Logistics Inc. - Farmers Branch,Farmers Branch,57,7/8/21,7/12/21,,,,Dallas County WDA,Dallas,,
Texas,Fusion Logistics Inc. - Garland,Garland,50,7/8/21,7/12/21,,,,Dallas County WDA,Dallas,,
Texas,Fusion Logistics Inc. - Coppell,Coppell,62,7/8/21,7/12/21,,,,Dallas County WDA,Dallas,,
Texas,Fusion Logistics Inc. - Ft. Worth,Fort Worth,53,7/8/21,7/12/21,,,,Tarrant County WDA,Tarrant,,
Texas,Fusion Logistics Inc. - Houston,Houston,81,7/8/21,7/12/21,,,,Gulf Coast WDA,Harris,,
Texas,"XPO Logistics Supply Chain, LLC",San Antonio,29,7/23/21,8/2/21,,,,Alamo WDA,Bexar,,
Texas,Turner Industries,Paris,250,7/1/21,8/30/21,,,,North East Texas WDA,Lamar,,
Texas,"Cubic ITS, Inc.",Sugar Land,80,7/1/21,2/1/22,,,,Gulf Coast WDA,Fort Bend,,
Texas,TT Electronics (IRC),Corpus Christi,73,6/17/21,8/16/21,,,,Coastal Bend WDA,Nueces,,
Texas,Electronic Transaction Consultants,Richardson,34,6/7/21,7/30/21,,,,Dallas County WDA,Dallas,,
Texas,"Progenity, Inc.-Fuller Dr.",Irving,51,6/7/21,8/6/21,,,,Dallas County WDA,Dallas,,
Texas,"Progenity, Inc.-Riverside Dr.",Irving,9,6/7/21,8/6/21,,,,Dallas County WDA,Dallas,,
Texas,"Mattison Pathology, LLP dba Avero Diagnotics",Irving,5,6/7/21,8/6/21,,,,Dallas County WDA,Dallas,,
Texas,Mattison Pathollogy dba Avero Diagnotics-Fuller Dr.,Irving,7,6/7/21,8/6/21,,,,Dallas County WDA,Dallas,,
Texas,Katerra Inc.,Carrollton,82,6/1/21,6/4/21,,,,Dallas County WDA,Dallas,,
Texas,Texas Golden Peanut -ADM,El Paso,86,6/3/21,7/31/21,,,,Borderplexjobs WDA,El Paso,,
Texas,Probe Group North America LLC,Lewisville,150,6/1/21,7/31/21,,,,North Central Texas WDA,Denton,,
Texas,U.S. Well Services,San Angelo,63,5/24/21,7/20/21,,,,Concho Valley WDA,Tom Green,,
Texas,U.S. Well Services - Pleasanton,Pleasanton,108,5/24/21,7/23/21,,,,Alamo WDA,Atascosa,,
Texas,"AIG Technologies, Inc.",Fort Worth,63,5/20/21,7/23/21,,,,Tarrant County WDA,Tarrant,,
Texas,The Children's Shelter-Family Tapestry,San Antonio,93,5/17/21,7/13/21,,,,Alamo WDA,Bexar,,
Texas,Legend Energy Service-Longview,Longview,118,5/20/21,5/15/21,,,,East Texas WDA,Gregg,,
Texas,Aramark Educational Services - SFASU,Nacogdoches,215,5/20/21,6/30/21,,,,Deep East Texas WDA,Nacogdoches,,
Texas,Reliant Transportation,Justin,259,5/4/21,5/29/21,,,,North Central Texas WDA,Denton,,
Texas,Reliant Transportation-West Lot,Haslet,98,5/4/21,5/29/21,,,,Tarrant County WDA,Tarrant,,
Texas,EnerVest Ltd.,Houston,111,4/30/21,6/28/21,,,,Gulf Coast WDA,Harris,,
Texas,Concentrix CVG,Laredo,422,4/28/21,8/21/21,,,,South Texas WDA,Webb,,
Texas,Art Asset-Dallas,Grand Prairie,7,5/12/21,4/23/21,,,,Dallas County WDA,Dallas,,
Texas,Art Asset-Austin 1,Austin,5,5/12/21,4/23/21,,,,Capital Area WDA,Travis,,
Texas,Art Asset-Houston,Houston,12,5/12/21,4/23/21,,,,Gulf Coast WDA,Harris,,
Texas,Art Asset-San Antonio North,San Antonio,3,5/12/21,4/23/21,,,,Alamo WDA,Bexar,,
Texas,Art Asset-San Antonio Central,San Antonio,2,5/12/21,4/23/21,,,,Alamo WDA,Bexar,,
Texas,Art Asset-Austin Corporate,Austin,9,5/12/21,4/23/21,,,,Rural Capital WDA,Williamson,,
Texas,Art Asset-El Paso,El Paso,1,5/12/21,4/23/21,,,,Borderplexjobs WDA,El Paso,,
Texas,Art Asset-Killeen,Killeen,2,5/12/21,4/23/21,,,,Central Texas WDA,Bell,,
Texas,Art Asset-Brownsville,Weslaco,2,5/12/21,4/23/21,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,"Conduit Global-kgb USA, Inc.",San Antonio,245,4/29/21,7/26/21,,,,Alamo WDA,Bexar,,
Texas,"Texas Capital Bank, NA - MCA",Richardson,95,5/10/21,5/7/21,,,,Dallas County WDA,Dallas,,
Texas,Five Star Senior Living Inc.,San Antonio,63,4/27/21,4/30/21,,,,Alamo WDA,Bexar,,
Texas,Sodexo-Texoma Medical Center,Denison,105,4/29/21,6/20/21,,,,Texoma WDA,Grayson,,
Texas,Leidos-VA Austin IT Center,Austin,140,4/13/21,6/6/21,,,,Capital Area WDA,Travis,,
Texas,Union Pacific Palestine Car Facility,Palestine,57,4/27/21,6/14/21,,,,East Texas WDA,Anderson,,
Texas,Frontier Communications Corp.-Citizens Telecom Services,Allen,33,4/15/21,6/30/21,,,,North Central Texas WDA,Collin,,
Texas,Kindred Hospital - Mansfield,Mansfield,156,4/15/21,6/14/21,,,,Tarrant County WDA,Tarrant,,
Texas,GDC Technics,San Antonio,56,4/15/21,4/9/21,,,,Alamo WDA,Bexar,,
Texas,GDC Technics - Ft. Worth,Fort Worth,120,4/15/21,4/9/21,,,,North Central Texas WDA,Denton,,
Texas,"Fresenius Health Partners, I c.",Austin,121,4/6/21,5/31/21,,,,Capital Area WDA,Travis,,
Texas,Furr's Fresh Buffet-McAllen,McAllen,71,3/31/21,6/4/21,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,Ovintive USA Inc.,Karnes City,95,3/25/21,7/31/21,,,,Alamo WDA,Karnes,,
Texas,"CSG Systems, Inc.",Austin,57,3/29/21,6/30/21,,,,Capital Area WDA,Travis,,
Texas,"Thyssenkrupp Supply Chain Services, Inc.",Houston,30,3/18/21,7/31/21,,,,Gulf Coast WDA,Harris,,
Texas,Renaissance Dallas Addison Hotel,Addison,134,3/22/21,3/16/20,,,,Dallas County WDA,Dallas,,
Texas,Dallas Marriott Las Colinas,Irving,59,3/22/21,3/16/20,,,,Dallas County WDA,Dallas,,
Texas,Renaisance Dallas Addison Hotel - Ft. Worth,Ft. Worth,53,3/22/21,3/16/20,,,,Tarrant County WDA,Tarrant,,
Texas,Hilton-Austin,Austin,64,3/26/21,2/18/21,,,,Capital Area WDA,Travis,,
Texas,Walmart #5931,Dallas,217,3/9/21,3/30/21,,,,Dallas County WDA,Dallas,,
Texas,"Wonderful Citrus Packing, LLC",Mission,141,3/12/21,3/4/21,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,"Relyant Global, LLC",San Juan,70,3/2/21,5/7/21,,,,Cameron County WDA,Hidalgo,,
Texas,West Texas Medical Associates,San Angelo,114,3/5/21,4/3/21,,,,Concho Valley WDA,Tom Green,,
Texas,American Airlines-DFW,DFW Airport,2475,3/8/21,4/1/20,,,,Tarrant County WDA,Tarrant,,
Texas,Coca Cola North America,Grand Prairie,76,3/4/21,4/15/21,,,,Dallas County WDA,Dallas,,
Texas,Hilton Anatole,Dallas,206,3/11/21,4/10/21,,,,Dallas County WDA,Dallas,,
Texas,Seadrill Americas-West Neptune,Houston,162,3/5/21,3/1/21,,,,Gulf Coast WDA,Harris,,
Texas,CBRE,Dallas,193,2/11/21,4/30/21,,,,Dallas County WDA,Dallas,,
Texas,American Airlines-DFW Hangar,DFW Airport,50,3/8/21,4/1/21,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines-DFW Admin Bldg,DFW Airport,16,3/8/21,4/1/20,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines-HDQ,Ft. Worth,229,3/8/21,4/1/20,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines-HDQ2,Ft. Worth,41,3/9/21,4/1/21,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines - Ft Worth,Fort Worth,9,3/8/21,4/2/21,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines-Flight Training,Ft. Worth,103,3/8/21,4/1/21,,,,Tarrant County WDA,Tarrant,,
Texas,American Airlines-Delta Hanger,DFW Airport,38,3/8/21,4/1/20,,,,Dallas County WDA,Dallas,,
Texas,American Airlines-SRO,Ft. Worth,2,3/8/21,4/1/21,,,,Tarrant County WDA,Tarrant,,
Texas,Columbia Commercial Building Products,Rockwall,59,3/5/21,4/2/21,,,,North Central Texas WDA,Rockwall,,
Texas,"Trinity Rail Maintenance Services, Inc.",Vidor,59,1/28/21,4/30/21,,,,South East Texas WDA,Orange,,
Texas,CACI-ISS,San Antonio,73,2/2/21,2/28/21,,,,Alamo WDA,Bexar,,
Texas,Baylor Scott & White Health-Elm St,Dallas,46,3/5/21,3/3/21,,,,Dallas County WDA,Dallas,,
Texas,Baylor Scott & White Health-Main St,Dallas,25,3/5/21,3/3/21,,,,Dallas County WDA,Dallas,,
Texas,Baylor Scott & White Health-Round Rock,Round Rock,83,3/5/21,3/3/21,,,,Rural Capital WDA,Williamson,,
Texas,Baylor Scott & White Health-Austin,Austin,62,3/5/21,3/3/21,,,,Capital Area WDA,Travis,,
Texas,Lucite International,Nederland,99,1/28/21,5/1/21,,,,South East Texas WDA,Jefferson,,
Texas,Gibraltar US,San Benito,96,1/22/21,3/22/21,,,,Cameron County WDA,Cameron,,
Texas,Johnson Controls-Ruskin Rooftop Systems,Carrollton,151,1/22/21,3/31/21,,,,Dallas County WDA,Dallas,,
Texas,Alliance Data Card Services,San Antonio,50,1/15/21,4/1/21,,,,Alamo WDA,Bexar,,
Texas,ADS Alliance Data Systems,San Antonio,50,1/27/21,4/1/21,,,,Alamo WDA,Bexar,,
Texas,"Par-Pak, Inc.",Houston,1,1/8/21,3/25/21,,,,Gulf Coast WDA,Harris,,
Texas,Albertsons #3064,Bellaire,67,1/8/21,2/20/21,,,,Gulf Coast WDA,Harris,,
Texas,"VT Industries, Inc.",Universal City,104,1/22/21,3/12/21,,,,Alamo WDA,Bexar,,
Texas,Transform SR LLC-San Antonio,San Antonio,67,1/22/21,3/7/21,,,,Alamo WDA,Bexar,,
Texas,DHL - Baytown,Baytown,97,1/6/21,3/15/21,,,,Gulf Coast WDA,Harris,,
Texas,IBEX,New Braunfels,248,12/22/20,2/16/21,,,,Alamo WDA,Comal,,
Texas,BoomerangTube LLC - FM 3361,Liberty,150,12/22/20,12/23/20,,,,Gulf Coast WDA,Liberty,,
Texas,ACCC Insurance Company,Houston,122,12/21/20,12/30/20,,,,Gulf Coast WDA,Harris,,
Texas,"Halliburton Energy Services, Inc. - Carrollton",Carrollton,216,12/15/20,12/15/20,,,,Dallas County WDA,Dallas,,
Texas,"Parsley Energy, Inc. - Midland",Midland,100,12/15/20,2/15/21,,,,Permian Basin WDA,Midland,,
Texas,EVO Transportation,Austin,104,12/15/20,1/9/21,,,,Capital Area WDA,Travis,,
Texas,Hyatt Regency DFW,DFW Airport,111,12/14/20,12/4/20,,,,Tarrant County WDA,Tarrant,,
Texas,Manitou Equipment America,Waco,149,12/14/20,2/26/21,,,,Heart of Texas WDA,McLennan,,
Texas,"Laz Parking Texas, LLC",Dallas,135,12/14/20,11/23/20,,,,Dallas County WDA,Dallas,,
Texas,"Patrician Window Coverings, Inc.",Webster,95,12/10/20,2/12/21,,,,Gulf Coast WDA,Harris,,
Texas,Morrison Healthcare - University of Texas Medical Branch,Galveston,149,12/8/20,12/23/20,,,,Gulf Coast WDA,Galveston,,
Texas,Angleton Danbury Hospital,Angleton,12,12/8/20,12/23/20,,,,Gulf Coast WDA,Brazoria,,
Texas,League City Campus Hospital,League City,15,12/8/20,12/23/20,,,,Gulf Coast WDA,Galveston,,
Texas,Clear Lake Campus Hospital,Webster,27,12/8/20,12/23/20,,,,Gulf Coast WDA,Harris,,
Texas,LEH-S Presa St,San Antonio,33,12/8/20,2/3/21,,,,Alamo WDA,Bexar,,
Texas,LEH -BDA Crossing,San Antonio,50,12/8/20,2/3/21,,,,Alamo WDA,Bexar,,
Texas,LEH-Elmendorf,Elmendorf,5,12/8/20,2/3/21,,,,Alamo WDA,Bexar,,
Texas,LEH-Falls City,Falls City,4,12/8/20,2/3/21,,,,Alamo WDA,Karnes,,
Texas,Allied Universal Security Services,Arlington,88,12/8/20,1/31/21,,,,Tarrant County WDA,Tarrant,,
Texas,Tom Thumb #2574,Ft. Worth,11,12/8/20,2/27/21,,,,Tarrant County WDA,Tarrant,,
Texas,Tom Thumb #2642,Dallas,17,12/8/20,2/27/21,,,,Dallas County WDA,Dallas,,
Texas,Tom Thumb #1788,Plano,17,12/8/20,2/27/21,,,,North Central Texas WDA,Collin,,
Texas,Tom Thumb #1786,Grand Prairie,16,12/8/20,2/27/21,,,,Dallas County WDA,Dallas,,
Texas,Tom Thumb #2578,Garland,10,12/8/20,2/27/21,,,,Dallas County WDA,Dallas,,
Texas,Tom Thumb #3658,Arlington,16,12/8/20,2/27/21,,,,Tarrant County WDA,Tarrant,,
Texas,Tom Thumb #1781,Coppell,10,12/8/20,2/27/21,,,,Dallas County WDA,Dallas,,
Texas,"Parsley Energy, Inc.-Congress Ave",Austin,85,12/7/20,2/8/21,,,,Capital Area WDA,Travis,,
Texas,"Parsley Energy, Inc.-ABA",Austin,2,12/7/20,2/8/21,,,,Capital Area WDA,Travis,,
