Category: All categories

DMA,food stamp: (6/1/22 - 6/30/22)
Greenwood-Greenville MS,100
Montgomery (Selma) AL,94
Meridian MS,90
Bowling Green KY,78
Monroe LA-El Dorado AR,76
Lexington KY,75
Hattiesburg-Laurel MS,74
Alexandria LA,71
Twin Falls ID,71
Lafayette LA,66
Memphis TN,59
Jackson MS,58
Columbus-Tupelo-West Point MS,56
Birmingham AL,55
Biloxi-Gulfport MS,53
Dothan AL,53
Lake Charles LA,53
New Orleans LA,52
Beaumont-Port Arthur TX,51
Abilene-Sweetwater TX,51
Baton Rouge LA,50
Mobile AL-Pensacola (Ft. Walton Beach) FL,49
Tri-Cities TN-VA,48
Shreveport LA,48
Evansville IN,47
Indianapolis IN,46
Terre Haute IN,45
Jonesboro AR,42
Sherman TX-Ada OK,40
Louisville KY,38
Columbus GA,37
Macon GA,36
Jackson TN,35
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,35
Utica NY,33
Knoxville TN,33
Huntsville-Decatur (Florence) AL,32
Amarillo TX,31
Ft. Wayne IN,31
Corpus Christi TX,31
Wichita Falls TX & Lawton OK,30
Lubbock TX,30
Wheeling WV-Steubenville OH,29
Panama City FL,29
Springfield MO,29
Augusta GA,28
Albany GA,28
Charleston-Huntington WV,27
Nashville TN,25
Elmira NY,24
Clarksburg-Weston WV,23
Greenville-Spartanburg SC-Asheville NC-Anderson SC,23
South Bend-Elkhart IN,23
Colorado Springs-Pueblo CO,22
Salisbury MD,22
Joplin MO-Pittsburg KS,22
Odessa-Midland TX,22
Savannah GA,21
Jacksonville FL,21
Erie PA,21
Chattanooga TN,21
Youngstown OH,21
Florence-Myrtle Beach SC,20
Tyler-Longview(Lufkin & Nacogdoches) TX,20
Greensboro-High Point-Winston Salem NC,20
Kansas City MO,20
Waco-Temple-Bryan TX,19
Great Falls MT,19
San Angelo TX,19
Greenville-New Bern-Washington NC,19
St. Louis MO,19
Laredo TX,18
Wilmington NC,17
Dallas-Ft. Worth TX,17
San Antonio TX,17
Atlanta GA,17
Cincinnati OH,17
Houston TX,17
Columbia-Jefferson City MO,17
Charlotte NC,17
Gainesville FL,16
Eugene OR,15
Columbia SC,15
Grand Junction-Montrose CO,15
Tallahassee FL-Thomasville GA,14
