Category: All categories

DMA,food stamp: (5/1/22 - 5/31/22)
Alexandria LA,100
Greenwood-Greenville MS,84
Hattiesburg-Laurel MS,61
Montgomery (Selma) AL,59
Lafayette LA,58
Lake Charles LA,57
Columbus-Tupelo-West Point MS,53
Monroe LA-El Dorado AR,50
Biloxi-Gulfport MS,49
Meridian MS,47
Jackson TN,47
Bowling Green KY,45
Birmingham AL,45
Shreveport LA,42
St. Joseph MO,40
Parkersburg WV,37
Jackson MS,37
Memphis TN,36
New Orleans LA,36
Dothan AL,36
Beaumont-Port Arthur TX,36
Evansville IN,35
Lexington KY,35
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,34
Mobile AL-Pensacola (Ft. Walton Beach) FL,33
Huntsville-Decatur (Florence) AL,32
Baton Rouge LA,32
Columbus GA,29
Lubbock TX,29
Louisville KY,28
Indianapolis IN,28
Chattanooga TN,28
Albany GA,26
Corpus Christi TX,26
Amarillo TX,26
Charleston-Huntington WV,24
Tri-Cities TN-VA,23
Terre Haute IN,23
Knoxville TN,23
Lafayette IN,23
Tallahassee FL-Thomasville GA,22
Savannah GA,21
Springfield MO,21
Nashville TN,20
Wichita Falls TX & Lawton OK,20
Quincy IL-Hannibal MO-Keokuk IA,20
Joplin MO-Pittsburg KS,20
Macon GA,20
Sherman TX-Ada OK,19
Grand Junction-Montrose CO,18
Medford-Klamath Falls OR,18
Augusta GA,18
Bluefield-Beckley-Oak Hill WV,18
Bend OR,17
South Bend-Elkhart IN,17
Lima OH,16
Tulsa OK,15
Wheeling WV-Steubenville OH,15
Abilene-Sweetwater TX,15
Great Falls MT,15
Erie PA,14
Youngstown OH,14
Florence-Myrtle Beach SC,14
Colorado Springs-Pueblo CO,14
Waco-Temple-Bryan TX,14
Ft. Wayne IN,13
Eureka CA,13
Gainesville FL,13
Albuquerque-Santa Fe NM,13
Greensboro-High Point-Winston Salem NC,12
Atlanta GA,12
St. Louis MO,12
Houston TX,12
Anchorage AK,12
Columbia-Jefferson City MO,12
San Antonio TX,12
Wilkes Barre-Scranton PA,12
Greenville-New Bern-Washington NC,11
Jacksonville FL,11
Eugene OR,11
Little Rock-Pine Bluff AR,11
West Palm Beach-Ft. Pierce FL,11
Dallas-Ft. Worth TX,11
Sioux City IA,11
Tyler-Longview(Lufkin & Nacogdoches) TX,11
El Paso TX,11
Burlington VT-Plattsburgh NY,11
Traverse City-Cadillac MI,11
Salisbury MD,11
Kansas City MO,11
Binghamton NY,10
Charlotte NC,10
Odessa-Midland TX,10
Oklahoma City OK,10
Greenville-Spartanburg SC-Asheville NC-Anderson SC,10
Panama City FL,10
Baltimore MD,9
Tampa-St. Petersburg (Sarasota) FL,9
Yuma AZ-El Centro CA,9
Miami-Ft. Lauderdale FL,9
Orlando-Daytona Beach-Melbourne FL,9
Cincinnati OH,9
Toledo OH,8
Pittsburgh PA,8
Fresno-Visalia CA,8
Spokane WA,8
Clarksburg-Weston WV,8
Rochester NY,8
Ft. Myers-Naples FL,8
Missoula MT,7
Bangor ME,7
Providence RI-New Bedford MA,7
Boise ID,7
Davenport IA-Rock Island-Moline IL,7
Johnstown-Altoona PA,7
Milwaukee WI,7
Richmond-Petersburg VA,7
Austin TX,7
Des Moines-Ames IA,7
Harlingen-Weslaco-Brownsville-McAllen TX,7
Portland OR,7
Lansing MI,7
Ft. Smith-Fayetteville-Springdale-Rogers AR,7
Las Vegas NV,7
Charleston SC,7
Raleigh-Durham (Fayetteville) NC,7
Roanoke-Lynchburg VA,6
Chico-Redding CA,6
Wilmington NC,6
"Billings, MT",6
Albany-Schenectady-Troy NY,6
Philadelphia PA,6
Cleveland-Akron (Canton) OH,6
Harrisburg-Lancaster-Lebanon-York PA,6
Grand Rapids-Kalamazoo-Battle Creek MI,6
Buffalo NY,6
Columbus OH,6
Dayton OH,6
Yakima-Pasco-Richland-Kennewick WA,5
Champaign & Springfield-Decatur IL,5
Washington DC (Hagerstown MD),5
Palm Springs CA,5
New York NY,5
Phoenix AZ,5
Reno NV,5
Wichita-Hutchinson KS,5
Minot-Bismarck-Dickinson(Williston) ND,5
Norfolk-Portsmouth-Newport News VA,5
Denver CO,4
Columbia SC,4
Portland-Auburn ME,4
Omaha NE,4
Honolulu HI,4
Hartford & New Haven CT,4
Peoria-Bloomington IL,4
Syracuse NY,4
Seattle-Tacoma WA,4
Topeka KS,4
Chicago IL,4
Detroit MI,4
Sioux Falls(Mitchell) SD,3
Flint-Saginaw-Bay City MI,3
Tucson (Sierra Vista) AZ,3
San Diego CA,3
Sacramento-Stockton-Modesto CA,3
Bakersfield CA,3
Green Bay-Appleton WI,3
Madison WI,3
Los Angeles CA,3
Minneapolis-St. Paul MN,3
Fargo-Valley City ND,2
Boston MA-Manchester NH,2
San Francisco-Oakland-San Jose CA,2
Salt Lake City UT,2
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,2
Santa Barbara-Santa Maria-San Luis Obispo CA,2
Mankato MN,
Zanesville OH,
Juneau AK,
Helena MT,
Butte-Bozeman MT,
Utica NY,
Springfield-Holyoke MA,
Watertown NY,
Presque Isle ME,
Marquette MI,
Elmira NY,
Harrisonburg VA,
Alpena MI,
