Category: All categories

DMA,food stamp: (4/1/22 - 4/30/22)
St. Joseph MO,100
Greenwood-Greenville MS,99
Alexandria LA,89
Montgomery (Selma) AL,74
Meridian MS,72
Lake Charles LA,68
Lafayette LA,64
Ottumwa IA-Kirksville MO,63
Monroe LA-El Dorado AR,62
Birmingham AL,53
Hattiesburg-Laurel MS,52
Columbus-Tupelo-West Point MS,49
Baton Rouge LA,48
Dothan AL,45
Shreveport LA,44
Evansville IN,43
Mobile AL-Pensacola (Ft. Walton Beach) FL,43
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,43
Jackson MS,42
Lexington KY,41
Memphis TN,41
Huntsville-Decatur (Florence) AL,41
Columbus GA,39
Albany GA,37
Jackson TN,37
New Orleans LA,36
Bowling Green KY,36
Joplin MO-Pittsburg KS,35
Jonesboro AR,33
Knoxville TN,33
Chattanooga TN,31
Lubbock TX,29
Indianapolis IN,29
Charleston-Huntington WV,29
Biloxi-Gulfport MS,28
Tri-Cities TN-VA,27
Ft. Wayne IN,27
Louisville KY,27
Terre Haute IN,27
Lafayette IN,26
Tallahassee FL-Thomasville GA,26
Amarillo TX,25
Beaumont-Port Arthur TX,24
Augusta GA,24
Florence-Myrtle Beach SC,23
Macon GA,22
Savannah GA,22
Abilene-Sweetwater TX,21
Youngstown OH,20
Nashville TN,19
Springfield MO,19
Anchorage AK,18
Columbia-Jefferson City MO,18
Tyler-Longview(Lufkin & Nacogdoches) TX,18
Colorado Springs-Pueblo CO,17
Corpus Christi TX,17
Erie PA,17
Salisbury MD,17
Waco-Temple-Bryan TX,17
Wichita Falls TX & Lawton OK,16
Bakersfield CA,16
Jacksonville FL,16
San Angelo TX,16
St. Louis MO,16
Kansas City MO,16
Yuma AZ-El Centro CA,15
Springfield-Holyoke MA,15
Greenville-Spartanburg SC-Asheville NC-Anderson SC,15
Watertown NY,15
Eugene OR,15
Grand Junction-Montrose CO,15
Marquette MI,15
Cincinnati OH,14
Tulsa OK,14
Greenville-New Bern-Washington NC,14
Topeka KS,14
Oklahoma City OK,14
Toledo OH,13
Houston TX,13
Panama City FL,13
South Bend-Elkhart IN,13
Bluefield-Beckley-Oak Hill WV,13
Atlanta GA,13
Sherman TX-Ada OK,13
Eureka CA,13
Rochester MN-Mason City IA-Austin MN,12
West Palm Beach-Ft. Pierce FL,12
Medford-Klamath Falls OR,12
Columbia SC,12
Utica NY,12
Lincoln & Hastings-Kearney NE,12
Little Rock-Pine Bluff AR,11
Dallas-Ft. Worth TX,11
Syracuse NY,11
Ft. Smith-Fayetteville-Springdale-Rogers AR,11
Albuquerque-Santa Fe NM,11
Elmira NY,11
Harlingen-Weslaco-Brownsville-McAllen TX,11
Baltimore MD,10
Charlotte NC,10
Lansing MI,10
Tampa-St. Petersburg (Sarasota) FL,10
San Antonio TX,9
Des Moines-Ames IA,9
El Paso TX,9
Gainesville FL,9
Portland OR,9
Roanoke-Lynchburg VA,9
Orlando-Daytona Beach-Melbourne FL,9
Buffalo NY,9
Raleigh-Durham (Fayetteville) NC,9
Greensboro-High Point-Winston Salem NC,9
Johnstown-Altoona PA,8
Dayton OH,8
Traverse City-Cadillac MI,8
Norfolk-Portsmouth-Newport News VA,8
Binghamton NY,8
Pittsburgh PA,8
Wilkes Barre-Scranton PA,8
Miami-Ft. Lauderdale FL,8
Austin TX,8
Flint-Saginaw-Bay City MI,7
Hartford & New Haven CT,7
Albany-Schenectady-Troy NY,7
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,7
Idaho Falls-Pocatello ID,7
