Category: All categories

DMA,food stamp: (12/1/22 - 12/31/22)
Montgomery (Selma) AL,100
Biloxi-Gulfport MS,88
Monroe LA-El Dorado AR,81
Dothan AL,81
Alexandria LA,76
Columbus-Tupelo-West Point MS,73
Beaumont-Port Arthur TX,72
San Angelo TX,62
Greenwood-Greenville MS,60
Birmingham AL,57
Lexington KY,55
Columbus GA,55
Lima OH,55
Bowling Green KY,53
Lafayette LA,53
Jackson TN,53
Shreveport LA,52
Abilene-Sweetwater TX,51
Huntsville-Decatur (Florence) AL,50
Meridian MS,50
Terre Haute IN,48
Memphis TN,48
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,48
Mobile AL-Pensacola (Ft. Walton Beach) FL,47
Jackson MS,47
Charleston-Huntington WV,45
Macon GA,44
Jonesboro AR,44
Hattiesburg-Laurel MS,42
Chattanooga TN,41
Tri-Cities TN-VA,41
Baton Rouge LA,41
Indianapolis IN,40
Knoxville TN,40
Evansville IN,40
Victoria TX,38
Louisville KY,38
Tallahassee FL-Thomasville GA,34
Joplin MO-Pittsburg KS,34
Albany GA,34
Augusta GA,34
Springfield MO,33
South Bend-Elkhart IN,33
Erie PA,33
Ft. Wayne IN,31
"Billings, MT",31
Waco-Temple-Bryan TX,30
New Orleans LA,28
Florence-Myrtle Beach SC,28
Savannah GA,27
Medford-Klamath Falls OR,27
Dayton OH,26
Nashville TN,26
Gainesville FL,25
Tulsa OK,22
Corpus Christi TX,22
Atlanta GA,22
St. Louis MO,22
Clarksburg-Weston WV,22
Tyler-Longview(Lufkin & Nacogdoches) TX,21
Colorado Springs-Pueblo CO,21
Odessa-Midland TX,20
Greenville-New Bern-Washington NC,19
Wilkes Barre-Scranton PA,19
Pittsburgh PA,19
Ft. Smith-Fayetteville-Springdale-Rogers AR,19
Greensboro-High Point-Winston Salem NC,18
Oklahoma City OK,18
San Antonio TX,18
Charleston SC,17
Columbia SC,17
Lubbock TX,17
Fresno-Visalia CA,16
Greenville-Spartanburg SC-Asheville NC-Anderson SC,16
Wheeling WV-Steubenville OH,16
Miami-Ft. Lauderdale FL,16
Johnstown-Altoona PA,16
Houston TX,16
Buffalo NY,16
Toledo OH,16
Kansas City MO,16
Jacksonville FL,15
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,15
Charlotte NC,15
Cincinnati OH,15
Dallas-Ft. Worth TX,14
Eugene OR,14
Marquette MI,14
Wichita-Hutchinson KS,14
Rockford IL,14
Bluefield-Beckley-Oak Hill WV,14
Champaign & Springfield-Decatur IL,14
Richmond-Petersburg VA,14
Sioux Falls(Mitchell) SD,14
Idaho Falls-Pocatello ID,13
Amarillo TX,13
Portland OR,12
Tampa-St. Petersburg (Sarasota) FL,12
Cleveland-Akron (Canton) OH,12
Harrisburg-Lancaster-Lebanon-York PA,12
Harrisonburg VA,12
Little Rock-Pine Bluff AR,12
Sherman TX-Ada OK,11
Philadelphia PA,11
El Paso TX,11
Minot-Bismarck-Dickinson(Williston) ND,11
Rochester NY,11
Bangor ME,10
Panama City FL,10
Des Moines-Ames IA,10
Traverse City-Cadillac MI,10
Raleigh-Durham (Fayetteville) NC,10
Bend OR,10
Anchorage AK,10
Baltimore MD,10
Omaha NE,10
Reno NV,10
Milwaukee WI,10
Harlingen-Weslaco-Brownsville-McAllen TX,10
Albuquerque-Santa Fe NM,10
Utica NY,10
Hartford & New Haven CT,9
Madison WI,9
Denver CO,9
West Palm Beach-Ft. Pierce FL,9
Davenport IA-Rock Island-Moline IL,9
New York NY,8
Orlando-Daytona Beach-Melbourne FL,8
Grand Rapids-Kalamazoo-Battle Creek MI,8
Washington DC (Hagerstown MD),8
Columbia-Jefferson City MO,8
Las Vegas NV,8
Monterey-Salinas CA,8
Austin TX,8
Providence RI-New Bedford MA,8
Youngstown OH,7
Tucson (Sierra Vista) AZ,7
Honolulu HI,7
Burlington VT-Plattsburgh NY,7
