Category: All categories

DMA,food stamp: (1/1/22 - 1/31/22)
Greenwood-Greenville MS,100
Meridian MS,70
Dothan AL,50
Lafayette LA,48
Montgomery (Selma) AL,43
Albany GA,37
Lexington KY,35
Monroe LA-El Dorado AR,34
Jackson TN,34
Ottumwa IA-Kirksville MO,32
Biloxi-Gulfport MS,32
Alexandria LA,31
Elmira NY,31
Bowling Green KY,30
Memphis TN,30
Sherman TX-Ada OK,28
Joplin MO-Pittsburg KS,28
Shreveport LA,28
Birmingham AL,28
Evansville IN,26
Columbus GA,26
Baton Rouge LA,26
Jonesboro AR,25
New Orleans LA,23
Lake Charles LA,23
Macon GA,23
Springfield MO,22
Louisville KY,22
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,22
St. Joseph MO,22
Columbus-Tupelo-West Point MS,22
Charleston-Huntington WV,22
Mobile AL-Pensacola (Ft. Walton Beach) FL,22
Huntsville-Decatur (Florence) AL,22
Jackson MS,22
Tri-Cities TN-VA,21
San Angelo TX,21
Terre Haute IN,21
Ft. Wayne IN,20
Tallahassee FL-Thomasville GA,19
Bluefield-Beckley-Oak Hill WV,19
Knoxville TN,19
Indianapolis IN,18
Hattiesburg-Laurel MS,16
Eureka CA,16
Topeka KS,16
Wichita Falls TX & Lawton OK,15
Beaumont-Port Arthur TX,15
Grand Junction-Montrose CO,14
Abilene-Sweetwater TX,14
Savannah GA,14
Jacksonville FL,13
Columbia-Jefferson City MO,13
Augusta GA,13
Gainesville FL,13
Great Falls MT,13
Florence-Myrtle Beach SC,12
Kansas City MO,12
Utica NY,11
Corpus Christi TX,11
Marquette MI,11
St. Louis MO,11
Nashville TN,11
Lubbock TX,11
Oklahoma City OK,10
Odessa-Midland TX,10
Clarksburg-Weston WV,10
Charleston SC,10
Charlottesville VA,10
Wausau-Rhinelander WI,10
Chattanooga TN,10
Tulsa OK,10
Colorado Springs-Pueblo CO,9
Waco-Temple-Bryan TX,9
Atlanta GA,9
Albuquerque-Santa Fe NM,9
Tyler-Longview(Lufkin & Nacogdoches) TX,9
Twin Falls ID,9
Johnstown-Altoona PA,8
Roanoke-Lynchburg VA,8
West Palm Beach-Ft. Pierce FL,8
Youngstown OH,8
Eugene OR,8
Cincinnati OH,8
Orlando-Daytona Beach-Melbourne FL,8
Davenport IA-Rock Island-Moline IL,8
Columbia SC,8
Panama City FL,8
El Paso TX,8
Greenville-New Bern-Washington NC,8
Tampa-St. Petersburg (Sarasota) FL,8
Wilkes Barre-Scranton PA,8
Amarillo TX,8
Wilmington NC,8
Des Moines-Ames IA,7
Rockford IL,7
Miami-Ft. Lauderdale FL,7
South Bend-Elkhart IN,7
Houston TX,7
Medford-Klamath Falls OR,7
Erie PA,7
Harlingen-Weslaco-Brownsville-McAllen TX,7
Anchorage AK,7
Little Rock-Pine Bluff AR,7
Harrisonburg VA,7
Raleigh-Durham (Fayetteville) NC,7
Greenville-Spartanburg SC-Asheville NC-Anderson SC,7
Bend OR,6
Richmond-Petersburg VA,6
Dayton OH,6
Ft. Myers-Naples FL,6
San Antonio TX,6
Pittsburgh PA,6
Harrisburg-Lancaster-Lebanon-York PA,6
Baltimore MD,6
Columbus OH,6
Rochester NY,6
Charlotte NC,6
Wheeling WV-Steubenville OH,6
Buffalo NY,6
Hartford & New Haven CT,6
Wichita-Hutchinson KS,6
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,6
Chico-Redding CA,6
Salisbury MD,5
Dallas-Ft. Worth TX,5
Milwaukee WI,5
Greensboro-High Point-Winston Salem NC,5
Honolulu HI,5
Las Vegas NV,5
Austin TX,5
Toledo OH,5
Albany-Schenectady-Troy NY,5
Cleveland-Akron (Canton) OH,5
Providence RI-New Bedford MA,5
Portland OR,5
Bakersfield CA,5
Ft. Smith-Fayetteville-Springdale-Rogers AR,5
Boise ID,4
Bangor ME,4
Rochester MN-Mason City IA-Austin MN,4
Madison WI,4
Denver CO,4
Yakima-Pasco-Richland-Kennewick WA,4
Omaha NE,4
Washington DC (Hagerstown MD),4
Flint-Saginaw-Bay City MI,4
Philadelphia PA,4
Green Bay-Appleton WI,4
Phoenix AZ,4
Portland-Auburn ME,4
New York NY,4
Tucson (Sierra Vista) AZ,4
Grand Rapids-Kalamazoo-Battle Creek MI,3
Syracuse NY,3
Champaign & Springfield-Decatur IL,3
Fresno-Visalia CA,3
Seattle-Tacoma WA,3
Reno NV,3
Detroit MI,3
Norfolk-Portsmouth-Newport News VA,3
Fargo-Valley City ND,3
Burlington VT-Plattsburgh NY,2
San Diego CA,2
Chicago IL,2
Boston MA-Manchester NH,2
Spokane WA,2
Los Angeles CA,2
San Francisco-Oakland-San Jose CA,2
Sacramento-Stockton-Modesto CA,1
Minneapolis-St. Paul MN,1
Salt Lake City UT,1
Juneau AK,
Alpena MI,
Mankato MN,
Fairbanks AK,
Casper-Riverton WY,
Binghamton NY,
Traverse City-Cadillac MI,
Springfield-Holyoke MA,
Watertown NY,
Lansing MI,
Presque Isle ME,
Lima OH,
Lafayette IN,
Zanesville OH,
Parkersburg WV,
Sioux City IA,
Victoria TX,
