Category: All categories

DMA,food stamp: (8/1/22 - 8/31/22)
Greenwood-Greenville MS,100
Montgomery (Selma) AL,91
Lafayette LA,84
Monroe LA-El Dorado AR,82
Dothan AL,82
Alexandria LA,79
Lake Charles LA,73
Bowling Green KY,73
Meridian MS,70
Biloxi-Gulfport MS,67
Lexington KY,61
Columbus-Tupelo-West Point MS,61
Albany GA,59
Hattiesburg-Laurel MS,58
Jackson MS,57
Birmingham AL,57
Shreveport LA,54
Baton Rouge LA,52
Memphis TN,51
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,51
Mobile AL-Pensacola (Ft. Walton Beach) FL,50
New Orleans LA,46
Columbus GA,42
Terre Haute IN,42
Louisville KY,39
San Angelo TX,39
Evansville IN,39
Augusta GA,39
Gainesville FL,38
Ottumwa IA-Kirksville MO,38
Erie PA,37
Indianapolis IN,37
Charleston-Huntington WV,36
Huntsville-Decatur (Florence) AL,36
Macon GA,36
Chattanooga TN,35
Abilene-Sweetwater TX,35
Medford-Klamath Falls OR,34
Beaumont-Port Arthur TX,34
Sherman TX-Ada OK,34
Knoxville TN,33
Binghamton NY,32
Utica NY,31
Springfield MO,31
South Bend-Elkhart IN,30
Jackson TN,30
Joplin MO-Pittsburg KS,29
Ft. Wayne IN,29
St. Joseph MO,29
Tyler-Longview(Lufkin & Nacogdoches) TX,29
Jonesboro AR,29
Tallahassee FL-Thomasville GA,28
St. Louis MO,26
Panama City FL,25
Twin Falls ID,25
Victoria TX,25
Florence-Myrtle Beach SC,24
Nashville TN,24
Jacksonville FL,22
Wichita Falls TX & Lawton OK,22
Little Rock-Pine Bluff AR,22
Kansas City MO,22
Tri-Cities TN-VA,20
Lafayette IN,20
Columbia-Jefferson City MO,20
Youngstown OH,19
Savannah GA,19
Atlanta GA,19
Columbia SC,19
Tulsa OK,19
Wheeling WV-Steubenville OH,18
Greenville-Spartanburg SC-Asheville NC-Anderson SC,18
Odessa-Midland TX,18
Colorado Springs-Pueblo CO,17
Lubbock TX,17
Great Falls MT,17
Toledo OH,17
Waco-Temple-Bryan TX,17
Eugene OR,16
Charlotte NC,16
Sioux City IA,16
Greenville-New Bern-Washington NC,15
Amarillo TX,15
Tampa-St. Petersburg (Sarasota) FL,15
San Antonio TX,15
Ft. Smith-Fayetteville-Springdale-Rogers AR,15
Greensboro-High Point-Winston Salem NC,14
Cincinnati OH,14
Miami-Ft. Lauderdale FL,14
Raleigh-Durham (Fayetteville) NC,14
Wausau-Rhinelander WI,14
Corpus Christi TX,14
West Palm Beach-Ft. Pierce FL,14
Wilkes Barre-Scranton PA,13
Springfield-Holyoke MA,13
Baltimore MD,13
Davenport IA-Rock Island-Moline IL,13
Oklahoma City OK,13
Houston TX,13
Milwaukee WI,13
Dallas-Ft. Worth TX,12
Providence RI-New Bedford MA,12
Yakima-Pasco-Richland-Kennewick WA,12
Bluefield-Beckley-Oak Hill WV,11
Dayton OH,11
Harrisonburg VA,11
Boise ID,11
Topeka KS,11
Orlando-Daytona Beach-Melbourne FL,11
Portland OR,10
Las Vegas NV,10
Roanoke-Lynchburg VA,10
Norfolk-Portsmouth-Newport News VA,10
Buffalo NY,10
Harlingen-Weslaco-Brownsville-McAllen TX,10
Cleveland-Akron (Canton) OH,10
Hartford & New Haven CT,10
Honolulu HI,9
Quincy IL-Hannibal MO-Keokuk IA,9
Laredo TX,9
Charleston SC,9
Ft. Myers-Naples FL,9
Syracuse NY,9
Wichita-Hutchinson KS,9
Austin TX,9
Albuquerque-Santa Fe NM,9
Tucson (Sierra Vista) AZ,8
Anchorage AK,8
Richmond-Petersburg VA,8
Lansing MI,8
Columbus OH,8
Phoenix AZ,8
Pittsburgh PA,8
Philadelphia PA,7
New York NY,7
Santa Barbara-Santa Maria-San Luis Obispo CA,7
Denver CO,7
Harrisburg-Lancaster-Lebanon-York PA,7
Albany-Schenectady-Troy NY,7
Rochester NY,7
Rockford IL,7
Fresno-Visalia CA,7
El Paso TX,7
Spokane WA,7
Green Bay-Appleton WI,7
Washington DC (Hagerstown MD),7
Bangor ME,6
Salisbury MD,6
Traverse City-Cadillac MI,6
Grand Rapids-Kalamazoo-Battle Creek MI,6
Des Moines-Ames IA,6
Idaho Falls-Pocatello ID,5
Sacramento-Stockton-Modesto CA,5
Palm Springs CA,5
Chicago IL,5
Flint-Saginaw-Bay City MI,5
Bakersfield CA,5
Seattle-Tacoma WA,5
Salt Lake City UT,5
Omaha NE,5
Chico-Redding CA,4
Portland-Auburn ME,4
Sioux Falls(Mitchell) SD,4
La Crosse-Eau Claire WI,4
Boston MA-Manchester NH,4
Detroit MI,3
Los Angeles CA,3
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,3
Minneapolis-St. Paul MN,3
Reno NV,3
Johnstown-Altoona PA,3
San Diego CA,2
San Francisco-Oakland-San Jose CA,2
Juneau AK,
Casper-Riverton WY,
Mankato MN,
Burlington VT-Plattsburgh NY,
Watertown NY,
Wilmington NC,
Presque Isle ME,
Marquette MI,
Lima OH,
Elmira NY,
Alpena MI,
Charlottesville VA,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Rochester MN-Mason City IA-Austin MN,
Champaign & Springfield-Decatur IL,
Madison WI,
Peoria-Bloomington IL,
Duluth MN-Superior WI,
Minot-Bismarck-Dickinson(Williston) ND,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
North Platte NE,
Fairbanks AK,
Butte-Bozeman MT,
"Billings, MT",
Cheyenne WY-Scottsbluff NE,
Missoula MT,
Rapid City SD,
Helena MT,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Glendive MT,
Eureka CA,
Bend OR,
Monterey-Salinas CA,
