Category: All categories

DMA,food stamp: (7/1/22 - 7/31/22)
Lafayette LA,100
Greenwood-Greenville MS,94
Hattiesburg-Laurel MS,90
Monroe LA-El Dorado AR,89
Montgomery (Selma) AL,87
Shreveport LA,74
Meridian MS,60
Alexandria LA,57
Memphis TN,54
Jackson MS,53
Evansville IN,52
Baton Rouge LA,50
Lake Charles LA,50
Birmingham AL,49
Lexington KY,44
New Orleans LA,43
Dothan AL,42
Tri-Cities TN-VA,41
Jackson TN,41
South Bend-Elkhart IN,41
Biloxi-Gulfport MS,40
Terre Haute IN,39
Macon GA,39
Springfield MO,39
St. Joseph MO,38
Indianapolis IN,38
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,37
Columbus GA,37
Knoxville TN,35
Huntsville-Decatur (Florence) AL,33
Chattanooga TN,33
Joplin MO-Pittsburg KS,32
Bowling Green KY,32
Panama City FL,32
Charleston-Huntington WV,30
Mobile AL-Pensacola (Ft. Walton Beach) FL,30
Abilene-Sweetwater TX,30
Louisville KY,30
Columbus-Tupelo-West Point MS,29
Clarksburg-Weston WV,27
Beaumont-Port Arthur TX,27
Lubbock TX,27
Jonesboro AR,27
Tyler-Longview(Lufkin & Nacogdoches) TX,27
Erie PA,26
Albany GA,25
Colorado Springs-Pueblo CO,25
Nashville TN,25
Greensboro-High Point-Winston Salem NC,24
Ottumwa IA-Kirksville MO,24
Elmira NY,24
Tallahassee FL-Thomasville GA,24
Wichita Falls TX & Lawton OK,23
Medford-Klamath Falls OR,23
Ft. Wayne IN,23
Augusta GA,22
Sherman TX-Ada OK,21
Waco-Temple-Bryan TX,21
Florence-Myrtle Beach SC,21
Harlingen-Weslaco-Brownsville-McAllen TX,21
Columbia-Jefferson City MO,21
Chico-Redding CA,20
Twin Falls ID,20
Savannah GA,20
Wilmington NC,20
Greenville-New Bern-Washington NC,20
Jacksonville FL,19
Grand Junction-Montrose CO,19
Youngstown OH,18
Greenville-Spartanburg SC-Asheville NC-Anderson SC,18
Tulsa OK,18
Oklahoma City OK,17
Little Rock-Pine Bluff AR,17
Odessa-Midland TX,17
Harrisonburg VA,17
San Antonio TX,16
Kansas City MO,16
Topeka KS,16
Johnstown-Altoona PA,16
Quincy IL-Hannibal MO-Keokuk IA,15
Charlotte NC,15
Lafayette IN,15
Atlanta GA,15
Eugene OR,15
Houston TX,15
St. Louis MO,14
Tampa-St. Petersburg (Sarasota) FL,14
Yuma AZ-El Centro CA,14
Ft. Smith-Fayetteville-Springdale-Rogers AR,14
Corpus Christi TX,13
Dallas-Ft. Worth TX,13
Spokane WA,13
Salisbury MD,13
Dayton OH,13
Anchorage AK,13
Wilkes Barre-Scranton PA,13
Albuquerque-Santa Fe NM,13
Fresno-Visalia CA,12
Gainesville FL,12
Ft. Myers-Naples FL,12
Orlando-Daytona Beach-Melbourne FL,12
Miami-Ft. Lauderdale FL,12
"Billings, MT",12
Cincinnati OH,12
Raleigh-Durham (Fayetteville) NC,11
Hartford & New Haven CT,11
Tucson (Sierra Vista) AZ,11
Pittsburgh PA,11
Columbia SC,11
Cleveland-Akron (Canton) OH,10
Wheeling WV-Steubenville OH,10
Columbus OH,10
Buffalo NY,10
Rockford IL,10
Richmond-Petersburg VA,9
Honolulu HI,9
Wichita-Hutchinson KS,9
Baltimore MD,9
Austin TX,9
Norfolk-Portsmouth-Newport News VA,9
Fargo-Valley City ND,9
Portland OR,9
Harrisburg-Lancaster-Lebanon-York PA,9
Yakima-Pasco-Richland-Kennewick WA,9
Davenport IA-Rock Island-Moline IL,9
Traverse City-Cadillac MI,8
Roanoke-Lynchburg VA,8
Rochester MN-Mason City IA-Austin MN,8
West Palm Beach-Ft. Pierce FL,8
Grand Rapids-Kalamazoo-Battle Creek MI,8
Philadelphia PA,8
Lansing MI,8
Denver CO,7
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,7
Wausau-Rhinelander WI,7
Providence RI-New Bedford MA,7
Charleston SC,7
Peoria-Bloomington IL,7
Phoenix AZ,7
Milwaukee WI,7
Idaho Falls-Pocatello ID,7
Flint-Saginaw-Bay City MI,7
Sacramento-Stockton-Modesto CA,6
Des Moines-Ames IA,6
Lincoln & Hastings-Kearney NE,6
Washington DC (Hagerstown MD),6
New York NY,6
Toledo OH,6
Green Bay-Appleton WI,5
Las Vegas NV,5
Reno NV,5
Bakersfield CA,5
Albany-Schenectady-Troy NY,5
El Paso TX,5
Springfield-Holyoke MA,5
Burlington VT-Plattsburgh NY,4
Syracuse NY,4
Seattle-Tacoma WA,4
Detroit MI,4
Portland-Auburn ME,4
Omaha NE,4
Chicago IL,3
Boise ID,3
Madison WI,3
San Diego CA,3
Los Angeles CA,3
Salt Lake City UT,3
San Francisco-Oakland-San Jose CA,3
Minneapolis-St. Paul MN,3
Boston MA-Manchester NH,2
Presque Isle ME,
Cheyenne WY-Scottsbluff NE,
Binghamton NY,
Utica NY,
Bangor ME,
Rochester NY,
Watertown NY,
Marquette MI,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Alpena MI,
Charlottesville VA,
Zanesville OH,
Parkersburg WV,
Sioux City IA,
Victoria TX,
Amarillo TX,
Champaign & Springfield-Decatur IL,
San Angelo TX,
Duluth MN-Superior WI,
Minot-Bismarck-Dickinson(Williston) ND,
La Crosse-Eau Claire WI,
Sioux Falls(Mitchell) SD,
Mankato MN,
North Platte NE,
Fairbanks AK,
Juneau AK,
Laredo TX,
Butte-Bozeman MT,
Great Falls MT,
Missoula MT,
Rapid City SD,
Helena MT,
Casper-Riverton WY,
Glendive MT,
Eureka CA,
Palm Springs CA,
Bend OR,
Monterey-Salinas CA,
Santa Barbara-Santa Maria-San Luis Obispo CA,
