Category: All categories

DMA,food stamp: (2/1/22 - 2/28/22)
Greenwood-Greenville MS,100
Alexandria LA,65
Meridian MS,55
Monroe LA-El Dorado AR,52
Dothan AL,48
Hattiesburg-Laurel MS,44
Lafayette LA,44
Lexington KY,36
Memphis TN,35
Montgomery (Selma) AL,34
Shreveport LA,32
Beaumont-Port Arthur TX,32
Birmingham AL,31
Joplin MO-Pittsburg KS,30
Biloxi-Gulfport MS,30
Jackson TN,29
Jackson MS,28
Lafayette IN,25
Mobile AL-Pensacola (Ft. Walton Beach) FL,23
Quincy IL-Hannibal MO-Keokuk IA,23
Tri-Cities TN-VA,22
New Orleans LA,22
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,22
Baton Rouge LA,22
Bowling Green KY,22
Huntsville-Decatur (Florence) AL,22
Indianapolis IN,22
Lake Charles LA,21
Evansville IN,21
Columbus GA,20
Charleston-Huntington WV,19
Augusta GA,19
Louisville KY,18
Panama City FL,18
Albany GA,17
Tallahassee FL-Thomasville GA,17
Columbia-Jefferson City MO,17
Knoxville TN,16
Florence-Myrtle Beach SC,16
Grand Junction-Montrose CO,15
Columbus-Tupelo-West Point MS,15
Springfield MO,15
Watertown NY,15
Amarillo TX,14
Nashville TN,14
Bend OR,14
Marquette MI,14
Wheeling WV-Steubenville OH,13
St. Louis MO,13
Savannah GA,13
Macon GA,13
Jonesboro AR,13
Great Falls MT,12
Yuma AZ-El Centro CA,12
Ft. Wayne IN,12
Odessa-Midland TX,11
Chattanooga TN,11
Wausau-Rhinelander WI,11
South Bend-Elkhart IN,11
Eureka CA,10
Bluefield-Beckley-Oak Hill WV,10
Champaign & Springfield-Decatur IL,10
Waco-Temple-Bryan TX,10
Tampa-St. Petersburg (Sarasota) FL,10
Kansas City MO,10
Little Rock-Pine Bluff AR,10
Tyler-Longview(Lufkin & Nacogdoches) TX,10
Dayton OH,9
Baltimore MD,9
Greenville-Spartanburg SC-Asheville NC-Anderson SC,9
Topeka KS,9
Rockford IL,9
Atlanta GA,9
Colorado Springs-Pueblo CO,9
Tulsa OK,9
Wilkes Barre-Scranton PA,9
Greensboro-High Point-Winston Salem NC,8
Wichita Falls TX & Lawton OK,8
Medford-Klamath Falls OR,8
San Antonio TX,8
Orlando-Daytona Beach-Melbourne FL,8
Columbia SC,8
Utica NY,8
Raleigh-Durham (Fayetteville) NC,8
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,8
Corpus Christi TX,8
Jacksonville FL,7
Wichita-Hutchinson KS,7
Lansing MI,7
West Palm Beach-Ft. Pierce FL,7
Rochester MN-Mason City IA-Austin MN,7
Toledo OH,7
Dallas-Ft. Worth TX,7
Norfolk-Portsmouth-Newport News VA,7
Miami-Ft. Lauderdale FL,7
Ft. Smith-Fayetteville-Springdale-Rogers AR,7
Buffalo NY,7
Albuquerque-Santa Fe NM,7
Houston TX,6
Salisbury MD,6
Eugene OR,6
Anchorage AK,6
Roanoke-Lynchburg VA,6
Davenport IA-Rock Island-Moline IL,6
Charlotte NC,6
Cincinnati OH,6
Albany-Schenectady-Troy NY,6
Charlottesville VA,6
Richmond-Petersburg VA,5
Spokane WA,5
Flint-Saginaw-Bay City MI,5
Charleston SC,5
Harrisonburg VA,5
Lubbock TX,5
Harlingen-Weslaco-Brownsville-McAllen TX,5
Reno NV,5
Philadelphia PA,5
Milwaukee WI,5
Cleveland-Akron (Canton) OH,5
Portland OR,5
Bangor ME,5
Gainesville FL,5
El Paso TX,5
Greenville-New Bern-Washington NC,5
Grand Rapids-Kalamazoo-Battle Creek MI,5
Missoula MT,5
Santa Barbara-Santa Maria-San Luis Obispo CA,4
Sherman TX-Ada OK,4
Hartford & New Haven CT,4
Ft. Myers-Naples FL,4
Des Moines-Ames IA,4
Johnstown-Altoona PA,4
Omaha NE,4
Fargo-Valley City ND,4
Sioux City IA,4
Yakima-Pasco-Richland-Kennewick WA,4
Syracuse NY,4
Denver CO,4
Columbus OH,4
Pittsburgh PA,4
Erie PA,4
Fresno-Visalia CA,4
Las Vegas NV,4
New York NY,3
Providence RI-New Bedford MA,3
Phoenix AZ,3
Austin TX,3
Lincoln & Hastings-Kearney NE,3
Salt Lake City UT,3
Springfield-Holyoke MA,3
Washington DC (Hagerstown MD),3
Detroit MI,3
Seattle-Tacoma WA,3
Honolulu HI,3
Madison WI,3
Chicago IL,3
Wilmington NC,2
Sacramento-Stockton-Modesto CA,2
Harrisburg-Lancaster-Lebanon-York PA,2
Boston MA-Manchester NH,2
Oklahoma City OK,2
Rochester NY,2
Los Angeles CA,2
San Francisco-Oakland-San Jose CA,2
San Diego CA,2
Minneapolis-St. Paul MN,1
Zanesville OH,
North Platte NE,
Helena MT,
Casper-Riverton WY,
Portland-Auburn ME,
Binghamton NY,
Burlington VT-Plattsburgh NY,
Youngstown OH,
Traverse City-Cadillac MI,
Presque Isle ME,
Lima OH,
Elmira NY,
Terre Haute IN,
Alpena MI,
Parkersburg WV,
Clarksburg-Weston WV,
Victoria TX,
Ottumwa IA-Kirksville MO,
St. Joseph MO,
Green Bay-Appleton WI,
San Angelo TX,
Abilene-Sweetwater TX,
Peoria-Bloomington IL,
Duluth MN-Superior WI,
Minot-Bismarck-Dickinson(Williston) ND,
La Crosse-Eau Claire WI,
Sioux Falls(Mitchell) SD,
Mankato MN,
Fairbanks AK,
Juneau AK,
Laredo TX,
Butte-Bozeman MT,
"Billings, MT",
Boise ID,
Idaho Falls-Pocatello ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Rapid City SD,
Tucson (Sierra Vista) AZ,
Glendive MT,
Bakersfield CA,
Palm Springs CA,
Monterey-Salinas CA,
Chico-Redding CA,
