,food bank,isPartial,region,metroCode
2020-09-06,94.0,False,US-AL,606
2020-09-13,0.0,False,US-AL,606
2020-09-20,0.0,False,US-AL,606
2020-09-27,95.0,False,US-AL,606
2020-10-04,100.0,False,US-AL,606
2020-10-11,0.0,False,US-AL,606
2020-10-18,0.0,False,US-AL,606
2020-10-25,0.0,False,US-AL,606
2020-11-01,0.0,False,US-AL,606
2020-11-08,0.0,False,US-AL,606
2020-11-15,0.0,False,US-AL,606
2020-11-22,0.0,False,US-AL,606
2020-11-29,0.0,False,US-AL,606
2020-12-06,0.0,False,US-AL,606
2020-12-13,0.0,False,US-AL,606
2020-12-20,0.0,False,US-AL,606
2020-12-27,0.0,False,US-AL,606
2020-01-05,30.0,False,US-AL,691
2020-01-12,0.0,False,US-AL,691
2020-01-19,0.0,False,US-AL,691
2020-01-26,0.0,False,US-AL,691
2020-02-02,29.0,False,US-AL,691
2020-02-09,0.0,False,US-AL,691
2020-02-16,29.0,False,US-AL,691
2020-02-23,0.0,False,US-AL,691
2020-03-01,0.0,False,US-AL,691
2020-03-08,0.0,False,US-AL,691
2020-03-15,28.0,False,US-AL,691
2020-03-22,27.0,False,US-AL,691
2020-03-29,27.0,False,US-AL,691
2020-04-05,26.0,False,US-AL,691
2020-04-12,100.0,False,US-AL,691
2020-04-19,50.0,False,US-AL,691
2020-04-26,26.0,False,US-AL,691
2020-05-03,26.0,False,US-AL,691
2020-05-10,27.0,False,US-AL,691
2020-05-17,54.0,False,US-AL,691
2020-05-24,0.0,False,US-AL,691
2020-05-31,55.0,False,US-AL,691
2020-06-07,0.0,False,US-AL,691
2020-06-14,29.0,False,US-AL,691
2020-06-21,57.0,False,US-AL,691
2020-06-28,0.0,False,US-AL,691
2020-07-05,0.0,False,US-AL,691
2020-07-12,0.0,False,US-AL,691
2020-07-19,0.0,False,US-AL,691
2020-07-26,30.0,False,US-AL,691
2020-08-02,30.0,False,US-AL,691
2020-08-09,0.0,False,US-AL,691
2020-08-16,28.0,False,US-AL,691
2020-08-23,27.0,False,US-AL,691
2020-08-30,0.0,False,US-AL,691
2020-09-06,0.0,False,US-AL,691
2020-09-13,28.0,False,US-AL,691
2020-09-20,0.0,False,US-AL,691
2020-09-27,0.0,False,US-AL,691
2020-10-04,0.0,False,US-AL,691
2020-10-11,0.0,False,US-AL,691
2020-10-18,0.0,False,US-AL,691
2020-10-25,33.0,False,US-AL,691
2020-11-01,0.0,False,US-AL,691
2020-11-08,63.0,False,US-AL,691
2020-11-15,65.0,False,US-AL,691
2020-11-22,32.0,False,US-AL,691
2020-11-29,0.0,False,US-AL,691
2020-12-06,0.0,False,US-AL,691
2020-12-13,0.0,False,US-AL,691
2020-12-20,0.0,False,US-AL,691
2020-12-27,0.0,False,US-AL,691
2020-01-05,71.0,False,US-AL,686
2020-01-12,0.0,False,US-AL,686
2020-01-19,23.0,False,US-AL,686
2020-01-26,0.0,False,US-AL,686
2020-02-02,68.0,False,US-AL,686
2020-02-09,27.0,False,US-AL,686
2020-02-16,34.0,False,US-AL,686
2020-02-23,0.0,False,US-AL,686
2020-03-01,0.0,False,US-AL,686
2020-03-08,0.0,False,US-AL,686
2020-03-15,21.0,False,US-AL,686
2020-03-22,21.0,False,US-AL,686
2020-03-29,20.0,False,US-AL,686
2020-04-05,20.0,False,US-AL,686
2020-04-12,19.0,False,US-AL,686
2020-04-19,0.0,False,US-AL,686
2020-04-26,20.0,False,US-AL,686
2020-05-03,39.0,False,US-AL,686
2020-05-10,20.0,False,US-AL,686
2020-05-17,0.0,False,US-AL,686
2020-05-24,0.0,False,US-AL,686
2020-05-31,0.0,False,US-AL,686
2020-06-07,0.0,False,US-AL,686
2020-06-14,0.0,False,US-AL,686
2020-06-21,40.0,False,US-AL,686
2020-06-28,20.0,False,US-AL,686
2020-07-05,41.0,False,US-AL,686
2020-07-12,0.0,False,US-AL,686
2020-07-19,21.0,False,US-AL,686
2020-07-26,43.0,False,US-AL,686
2020-08-02,21.0,False,US-AL,686
2020-08-09,44.0,False,US-AL,686
2020-08-16,22.0,False,US-AL,686
2020-08-23,21.0,False,US-AL,686
2020-08-30,21.0,False,US-AL,686
2020-09-06,0.0,False,US-AL,686
2020-09-13,0.0,False,US-AL,686
2020-09-20,0.0,False,US-AL,686
2020-09-27,46.0,False,US-AL,686
2020-10-04,0.0,False,US-AL,686
2020-10-11,25.0,False,US-AL,686
2020-10-18,0.0,False,US-AL,686
2020-10-25,0.0,False,US-AL,686
2020-11-01,0.0,False,US-AL,686
2020-11-08,0.0,False,US-AL,686
2020-11-15,100.0,False,US-AL,686
2020-11-22,24.0,False,US-AL,686
2020-11-29,0.0,False,US-AL,686
2020-12-06,24.0,False,US-AL,686
2020-12-13,48.0,False,US-AL,686
2020-12-20,0.0,False,US-AL,686
2020-12-27,0.0,False,US-AL,686
2020-01-05,37.0,False,US-AL,698
2020-01-12,34.0,False,US-AL,698
2020-01-19,0.0,False,US-AL,698
2020-01-26,0.0,False,US-AL,698
2020-02-02,10.0,False,US-AL,698
2020-02-09,22.0,False,US-AL,698
2020-02-16,35.0,False,US-AL,698
2020-02-23,0.0,False,US-AL,698
2020-03-01,0.0,False,US-AL,698
2020-03-08,70.0,False,US-AL,698
2020-03-15,0.0,False,US-AL,698
2020-03-22,34.0,False,US-AL,698
2020-03-29,0.0,False,US-AL,698
2020-04-05,31.0,False,US-AL,698
2020-04-12,31.0,False,US-AL,698
2020-04-19,0.0,False,US-AL,698
2020-04-26,32.0,False,US-AL,698
2020-05-03,63.0,False,US-AL,698
2020-05-10,0.0,False,US-AL,698
2020-05-17,0.0,False,US-AL,698
2020-05-24,67.0,False,US-AL,698
2020-05-31,0.0,False,US-AL,698
2020-06-07,0.0,False,US-AL,698
2020-06-14,100.0,False,US-AL,698
2020-06-21,0.0,False,US-AL,698
2020-06-28,0.0,False,US-AL,698
2020-07-05,35.0,False,US-AL,698
2020-07-12,0.0,False,US-AL,698
2020-07-19,35.0,False,US-AL,698
2020-07-26,0.0,False,US-AL,698
2020-08-02,0.0,False,US-AL,698
2020-08-09,0.0,False,US-AL,698
2020-08-16,0.0,False,US-AL,698
2020-08-23,0.0,False,US-AL,698
2020-08-30,0.0,False,US-AL,698
2020-09-06,0.0,False,US-AL,698
2020-09-13,32.0,False,US-AL,698
2020-09-20,33.0,False,US-AL,698
2020-09-27,34.0,False,US-AL,698
2020-10-04,35.0,False,US-AL,698
2020-10-11,0.0,False,US-AL,698
2020-10-18,0.0,False,US-AL,698
2020-10-25,0.0,False,US-AL,698
2020-11-01,0.0,False,US-AL,698
2020-11-08,0.0,False,US-AL,698
2020-11-15,0.0,False,US-AL,698
2020-11-22,38.0,False,US-AL,698
2020-11-29,0.0,False,US-AL,698
2020-12-06,37.0,False,US-AL,698
2020-12-13,0.0,False,US-AL,698
2020-12-20,0.0,False,US-AL,698
2020-12-27,37.0,False,US-AL,698
2020-01-05,43.0,False,US-AK,743
2020-01-12,43.0,False,US-AK,743
2020-01-19,0.0,False,US-AK,743
2020-01-26,0.0,False,US-AK,743
2020-02-02,65.0,False,US-AK,743
2020-02-09,0.0,False,US-AK,743
2020-02-16,21.0,False,US-AK,743
2020-02-23,0.0,False,US-AK,743
2020-03-01,0.0,False,US-AK,743
2020-03-08,21.0,False,US-AK,743
2020-03-15,39.0,False,US-AK,743
2020-03-22,54.0,False,US-AK,743
2020-03-29,17.0,False,US-AK,743
2020-04-05,71.0,False,US-AK,743
2020-04-12,34.0,False,US-AK,743
2020-04-19,52.0,False,US-AK,743
2020-04-26,54.0,False,US-AK,743
2020-05-03,18.0,False,US-AK,743
2020-05-10,0.0,False,US-AK,743
2020-05-17,0.0,False,US-AK,743
2020-05-24,39.0,False,US-AK,743
2020-05-31,0.0,False,US-AK,743
2020-06-07,0.0,False,US-AK,743
2020-06-14,0.0,False,US-AK,743
2020-06-21,0.0,False,US-AK,743
2020-06-28,63.0,False,US-AK,743
2020-07-05,40.0,False,US-AK,743
2020-07-12,21.0,False,US-AK,743
2020-07-19,20.0,False,US-AK,743
2020-07-26,21.0,False,US-AK,743
2020-08-02,61.0,False,US-AK,743
2020-08-09,21.0,False,US-AK,743
2020-08-16,20.0,False,US-AK,743
2020-08-23,78.0,False,US-AK,743
2020-08-30,100.0,False,US-AK,743
2020-09-06,42.0,False,US-AK,743
2020-09-13,0.0,False,US-AK,743
2020-09-20,20.0,False,US-AK,743
2020-09-27,21.0,False,US-AK,743
2020-10-04,0.0,False,US-AK,743
2020-10-11,0.0,False,US-AK,743
2020-10-18,0.0,False,US-AK,743
2020-10-25,24.0,False,US-AK,743
2020-11-01,19.0,False,US-AK,743
2020-11-08,23.0,False,US-AK,743
2020-11-15,94.0,False,US-AK,743
2020-11-22,0.0,False,US-AK,743
2020-11-29,46.0,False,US-AK,743
2020-12-06,24.0,False,US-AK,743
2020-12-13,24.0,False,US-AK,743
2020-12-20,0.0,False,US-AK,743
2020-12-27,0.0,False,US-AK,743
2020-01-05,52.0,False,US-AK,745
2020-01-12,0.0,False,US-AK,745
2020-01-19,0.0,False,US-AK,745
2020-01-26,0.0,False,US-AK,745
2020-02-02,0.0,False,US-AK,745
2020-02-09,0.0,False,US-AK,745
2020-02-16,0.0,False,US-AK,745
2020-02-23,0.0,False,US-AK,745
2020-03-01,47.0,False,US-AK,745
2020-03-08,0.0,False,US-AK,745
2020-03-15,46.0,False,US-AK,745
2020-03-22,0.0,False,US-AK,745
2020-03-29,0.0,False,US-AK,745
2020-04-05,0.0,False,US-AK,745
2020-04-12,40.0,False,US-AK,745
2020-04-19,82.0,False,US-AK,745
2020-04-26,0.0,False,US-AK,745
2020-05-03,45.0,False,US-AK,745
2020-05-10,0.0,False,US-AK,745
2020-05-17,0.0,False,US-AK,745
2020-05-24,0.0,False,US-AK,745
2020-05-31,0.0,False,US-AK,745
2020-06-07,0.0,False,US-AK,745
2020-06-14,0.0,False,US-AK,745
2020-06-21,0.0,False,US-AK,745
2020-06-28,0.0,False,US-AK,745
2020-07-05,0.0,False,US-AK,745
2020-07-12,0.0,False,US-AK,745
2020-07-19,0.0,False,US-AK,745
2020-07-26,0.0,False,US-AK,745
2020-08-02,100.0,False,US-AK,745
2020-08-09,50.0,False,US-AK,745
2020-08-16,47.0,False,US-AK,745
2020-08-23,0.0,False,US-AK,745
2020-08-30,90.0,False,US-AK,745
2020-09-06,96.0,False,US-AK,745
2020-09-13,47.0,False,US-AK,745
2020-09-20,0.0,False,US-AK,745
2020-09-27,0.0,False,US-AK,745
2020-10-04,0.0,False,US-AK,745
