,region,metroCode,calfresh,isPartial
2020-01-05,US-AZ,753,0.0,False
2020-01-12,US-AZ,753,0.0,False
2020-01-19,US-AZ,753,0.0,False
2020-01-26,US-AZ,753,0.0,False
2020-02-02,US-AZ,753,0.0,False
2020-02-09,US-AZ,753,0.0,False
2020-02-16,US-AZ,753,0.0,False
2020-02-23,US-AZ,753,0.0,False
2020-03-01,US-AZ,753,0.0,False
2020-03-08,US-AZ,753,100.0,False
2020-03-15,US-AZ,753,0.0,False
2020-03-22,US-AZ,753,0.0,False
2020-03-29,US-AZ,753,0.0,False
2020-04-05,US-AZ,753,0.0,False
2020-04-12,US-AZ,753,0.0,False
2020-04-19,US-AZ,753,0.0,False
2020-04-26,US-AZ,753,0.0,False
2020-05-03,US-AZ,753,0.0,False
2020-05-10,US-AZ,753,0.0,False
2020-05-17,US-AZ,753,0.0,False
2020-05-24,US-AZ,753,0.0,False
2020-05-31,US-AZ,753,95.0,False
2020-06-07,US-AZ,753,98.0,False
2020-06-14,US-AZ,753,0.0,False
2020-06-21,US-AZ,753,0.0,False
2020-06-28,US-AZ,753,0.0,False
2020-07-05,US-AZ,753,0.0,False
2020-07-12,US-AZ,753,0.0,False
2020-07-19,US-AZ,753,0.0,False
2020-07-26,US-AZ,753,0.0,False
2020-08-02,US-AZ,753,0.0,False
2020-08-09,US-AZ,753,0.0,False
2020-08-16,US-AZ,753,0.0,False
2020-08-23,US-AZ,753,0.0,False
2020-08-30,US-AZ,753,0.0,False
2020-09-06,US-AZ,753,0.0,False
2020-09-13,US-AZ,753,0.0,False
2020-09-20,US-AZ,753,0.0,False
2020-09-27,US-AZ,753,0.0,False
2020-10-04,US-AZ,753,0.0,False
2020-10-11,US-AZ,753,0.0,False
2020-10-18,US-AZ,753,0.0,False
2020-10-25,US-AZ,753,0.0,False
2020-11-01,US-AZ,753,0.0,False
2020-11-08,US-AZ,753,0.0,False
2020-11-15,US-AZ,753,0.0,False
2020-11-22,US-AZ,753,0.0,False
2020-11-29,US-AZ,753,0.0,False
2020-12-06,US-AZ,753,0.0,False
2020-12-13,US-AZ,753,0.0,False
2020-12-20,US-AZ,753,0.0,False
2020-12-27,US-AZ,753,0.0,False
2020-01-05,US-AZ,771,0.0,False
2020-01-12,US-AZ,771,0.0,False
2020-01-19,US-AZ,771,0.0,False
2020-01-26,US-AZ,771,0.0,False
2020-02-02,US-AZ,771,0.0,False
2020-02-09,US-AZ,771,0.0,False
2020-02-16,US-AZ,771,0.0,False
2020-02-23,US-AZ,771,0.0,False
2020-03-01,US-AZ,771,0.0,False
2020-03-08,US-AZ,771,0.0,False
2020-03-15,US-AZ,771,0.0,False
2020-03-22,US-AZ,771,0.0,False
2020-03-29,US-AZ,771,0.0,False
2020-04-05,US-AZ,771,0.0,False
2020-04-12,US-AZ,771,34.0,False
2020-04-19,US-AZ,771,0.0,False
2020-04-26,US-AZ,771,0.0,False
2020-05-03,US-AZ,771,100.0,False
2020-05-10,US-AZ,771,34.0,False
2020-05-17,US-AZ,771,0.0,False
2020-05-24,US-AZ,771,0.0,False
2020-05-31,US-AZ,771,36.0,False
2020-06-07,US-AZ,771,0.0,False
2020-06-14,US-AZ,771,0.0,False
2020-06-21,US-AZ,771,38.0,False
2020-06-28,US-AZ,771,0.0,False
2020-07-05,US-AZ,771,0.0,False
2020-07-12,US-AZ,771,0.0,False
2020-07-19,US-AZ,771,0.0,False
2020-07-26,US-AZ,771,0.0,False
2020-08-02,US-AZ,771,0.0,False
2020-08-09,US-AZ,771,0.0,False
2020-08-16,US-AZ,771,37.0,False
2020-08-23,US-AZ,771,0.0,False
2020-08-30,US-AZ,771,0.0,False
2020-09-06,US-AZ,771,38.0,False
2020-09-13,US-AZ,771,0.0,False
2020-09-20,US-AZ,771,0.0,False
2020-09-27,US-AZ,771,0.0,False
2020-10-04,US-AZ,771,0.0,False
2020-10-11,US-AZ,771,0.0,False
2020-10-18,US-AZ,771,0.0,False
2020-10-25,US-AZ,771,0.0,False
2020-11-01,US-AZ,771,0.0,False
2020-11-08,US-AZ,771,0.0,False
2020-11-15,US-AZ,771,0.0,False
2020-11-22,US-AZ,771,0.0,False
2020-11-29,US-AZ,771,0.0,False
2020-12-06,US-AZ,771,0.0,False
2020-12-13,US-AZ,771,0.0,False
2020-12-20,US-AZ,771,0.0,False
2020-12-27,US-AZ,771,0.0,False
2020-01-05,US-CA,800,0.0,False
2020-01-12,US-CA,800,0.0,False
2020-01-19,US-CA,800,47.0,False
2020-01-26,US-CA,800,46.0,False
2020-02-02,US-CA,800,0.0,False
2020-02-09,US-CA,800,23.0,False
2020-02-16,US-CA,800,23.0,False
2020-02-23,US-CA,800,0.0,False
2020-03-01,US-CA,800,22.0,False
2020-03-08,US-CA,800,0.0,False
2020-03-15,US-CA,800,100.0,False
2020-03-22,US-CA,800,20.0,False
2020-03-29,US-CA,800,58.0,False
2020-04-05,US-CA,800,39.0,False
2020-04-12,US-CA,800,55.0,False
2020-04-19,US-CA,800,36.0,False
2020-04-26,US-CA,800,36.0,False
2020-05-03,US-CA,800,19.0,False
2020-05-10,US-CA,800,38.0,False
2020-05-17,US-CA,800,57.0,False
2020-05-24,US-CA,800,40.0,False
2020-05-31,US-CA,800,0.0,False
2020-06-07,US-CA,800,0.0,False
2020-06-14,US-CA,800,20.0,False
2020-06-21,US-CA,800,20.0,False
2020-06-28,US-CA,800,21.0,False
2020-07-05,US-CA,800,22.0,False
2020-07-12,US-CA,800,0.0,False
2020-07-19,US-CA,800,21.0,False
2020-07-26,US-CA,800,22.0,False
2020-08-02,US-CA,800,63.0,False
2020-08-09,US-CA,800,42.0,False
2020-08-16,US-CA,800,0.0,False
2020-08-23,US-CA,800,0.0,False
2020-08-30,US-CA,800,0.0,False
2020-09-06,US-CA,800,0.0,False
2020-09-13,US-CA,800,19.0,False
2020-09-20,US-CA,800,20.0,False
2020-09-27,US-CA,800,21.0,False
2020-10-04,US-CA,800,22.0,False
2020-10-11,US-CA,800,24.0,False
2020-10-18,US-CA,800,0.0,False
2020-10-25,US-CA,800,0.0,False
2020-11-01,US-CA,800,0.0,False
2020-11-08,US-CA,800,45.0,False
2020-11-15,US-CA,800,47.0,False
2020-11-22,US-CA,800,0.0,False
2020-11-29,US-CA,800,0.0,False
2020-12-06,US-CA,800,67.0,False
2020-12-13,US-CA,800,0.0,False
2020-12-20,US-CA,800,25.0,False
2020-12-27,US-CA,800,47.0,False
2020-01-05,US-CA,868,60.0,False
2020-01-12,US-CA,868,19.0,False
2020-01-19,US-CA,868,0.0,False
2020-01-26,US-CA,868,19.0,False
2020-02-02,US-CA,868,0.0,False
2020-02-09,US-CA,868,0.0,False
2020-02-16,US-CA,868,0.0,False
2020-02-23,US-CA,868,18.0,False
2020-03-01,US-CA,868,0.0,False
2020-03-08,US-CA,868,18.0,False
2020-03-15,US-CA,868,35.0,False
2020-03-22,US-CA,868,16.0,False
2020-03-29,US-CA,868,16.0,False
2020-04-05,US-CA,868,33.0,False
2020-04-12,US-CA,868,31.0,False
2020-04-19,US-CA,868,32.0,False
2020-04-26,US-CA,868,16.0,False
2020-05-03,US-CA,868,63.0,False
2020-05-10,US-CA,868,0.0,False
2020-05-17,US-CA,868,16.0,False
2020-05-24,US-CA,868,0.0,False
2020-05-31,US-CA,868,17.0,False
2020-06-07,US-CA,868,17.0,False
2020-06-14,US-CA,868,0.0,False
2020-06-21,US-CA,868,18.0,False
2020-06-28,US-CA,868,0.0,False
2020-07-05,US-CA,868,19.0,False
2020-07-12,US-CA,868,19.0,False
2020-07-19,US-CA,868,0.0,False
