,region,metroCode,where can i find food,isPartial
2020-01-26,US-FL,524,0.0,False
2020-02-02,US-FL,524,0.0,False
2020-02-09,US-FL,524,0.0,False
2020-02-16,US-FL,524,0.0,False
2020-02-23,US-FL,524,0.0,False
2020-03-01,US-FL,524,0.0,False
2020-03-08,US-FL,524,87.0,False
2020-03-15,US-FL,524,0.0,False
2020-03-22,US-FL,524,0.0,False
2020-03-29,US-FL,524,86.0,False
2020-04-05,US-FL,524,0.0,False
2020-04-12,US-FL,524,0.0,False
2020-04-19,US-FL,524,0.0,False
2020-04-26,US-FL,524,0.0,False
2020-05-03,US-FL,524,0.0,False
2020-05-10,US-FL,524,0.0,False
2020-05-17,US-FL,524,0.0,False
2020-05-24,US-FL,524,0.0,False
2020-05-31,US-FL,524,0.0,False
2020-06-07,US-FL,524,0.0,False
2020-06-14,US-FL,524,0.0,False
2020-06-21,US-FL,524,0.0,False
2020-06-28,US-FL,524,91.0,False
2020-07-05,US-FL,524,0.0,False
2020-07-12,US-FL,524,0.0,False
2020-07-19,US-FL,524,0.0,False
2020-07-26,US-FL,524,0.0,False
2020-08-02,US-FL,524,0.0,False
2020-08-09,US-FL,524,0.0,False
2020-08-16,US-FL,524,0.0,False
2020-08-23,US-FL,524,0.0,False
2020-08-30,US-FL,524,0.0,False
2020-09-06,US-FL,524,0.0,False
2020-09-13,US-FL,524,0.0,False
2020-09-20,US-FL,524,0.0,False
2020-09-27,US-FL,524,0.0,False
2020-10-04,US-FL,524,0.0,False
2020-10-11,US-FL,524,0.0,False
2020-10-18,US-FL,524,0.0,False
2020-10-25,US-FL,524,100.0,False
2020-11-01,US-FL,524,0.0,False
2020-11-08,US-FL,524,0.0,False
2020-11-15,US-FL,524,0.0,False
2020-11-22,US-FL,524,0.0,False
2020-11-29,US-FL,524,0.0,False
2020-12-06,US-FL,524,0.0,False
2020-12-13,US-FL,524,0.0,False
2020-12-20,US-FL,524,0.0,False
2020-12-27,US-FL,524,0.0,False
