Category: All categories

DMA,Supplemental Nutrition Assistance Program: (5/1/22 - 5/31/22)
Monroe LA-El Dorado AR,100
Alexandria LA,88
Lafayette LA,78
Lake Charles LA,69
Greenwood-Greenville MS,66
Baton Rouge LA,57
Shreveport LA,57
Montgomery (Selma) AL,50
New Orleans LA,47
Meridian MS,47
Albany GA,46
Sherman TX-Ada OK,46
Ottumwa IA-Kirksville MO,44
Columbus GA,41
Biloxi-Gulfport MS,41
Victoria TX,40
Bowling Green KY,40
Zanesville OH,40
Beaumont-Port Arthur TX,38
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,37
Bluefield-Beckley-Oak Hill WV,37
Jackson TN,36
Hattiesburg-Laurel MS,36
Charleston-Huntington WV,36
Jackson MS,36
Dothan AL,35
Corpus Christi TX,35
Tallahassee FL-Thomasville GA,34
Memphis TN,34
St. Joseph MO,34
Medford-Klamath Falls OR,33
Lexington KY,33
Presque Isle ME,32
Lubbock TX,32
Birmingham AL,31
Columbus-Tupelo-West Point MS,31
Mobile AL-Pensacola (Ft. Walton Beach) FL,31
Panama City FL,30
Tulsa OK,29
Evansville IN,29
Florence-Myrtle Beach SC,29
Terre Haute IN,29
Wheeling WV-Steubenville OH,28
Macon GA,28
Wichita Falls TX & Lawton OK,28
Eugene OR,28
Utica NY,28
Quincy IL-Hannibal MO-Keokuk IA,27
Chattanooga TN,27
Jonesboro AR,27
Tyler-Longview(Lufkin & Nacogdoches) TX,27
Louisville KY,27
Springfield MO,26
Augusta GA,25
Hartford & New Haven CT,25
Amarillo TX,25
Tri-Cities TN-VA,24
Albuquerque-Santa Fe NM,24
Savannah GA,24
Indianapolis IN,24
Elmira NY,24
Wilkes Barre-Scranton PA,24
"Billings, MT",24
Gainesville FL,24
Jacksonville FL,23
Columbia SC,23
Colorado Springs-Pueblo CO,23
San Antonio TX,23
Baltimore MD,23
El Paso TX,23
Syracuse NY,23
Oklahoma City OK,23
Buffalo NY,22
Parkersburg WV,22
Waco-Temple-Bryan TX,22
Huntsville-Decatur (Florence) AL,22
Ft. Wayne IN,22
Chico-Redding CA,22
Fairbanks AK,21
Clarksburg-Weston WV,21
Greenville-New Bern-Washington NC,21
Roanoke-Lynchburg VA,21
Odessa-Midland TX,21
Houston TX,21
Binghamton NY,21
Knoxville TN,21
Joplin MO-Pittsburg KS,20
Salisbury MD,20
South Bend-Elkhart IN,20
Little Rock-Pine Bluff AR,20
Greensboro-High Point-Winston Salem NC,20
Harlingen-Weslaco-Brownsville-McAllen TX,20
Great Falls MT,20
Greenville-Spartanburg SC-Asheville NC-Anderson SC,20
Davenport IA-Rock Island-Moline IL,20
Rochester NY,19
Orlando-Daytona Beach-Melbourne FL,19
Atlanta GA,19
Youngstown OH,19
Harrisonburg VA,19
Nashville TN,19
Erie PA,19
Honolulu HI,19
Flint-Saginaw-Bay City MI,18
North Platte NE,18
Columbia-Jefferson City MO,18
Albany-Schenectady-Troy NY,18
Richmond-Petersburg VA,18
Lafayette IN,18
Tampa-St. Petersburg (Sarasota) FL,18
Yakima-Pasco-Richland-Kennewick WA,17
Johnstown-Altoona PA,17
Watertown NY,17
Norfolk-Portsmouth-Newport News VA,17
Bend OR,17
Bangor ME,17
Casper-Riverton WY,17
Portland OR,17
St. Louis MO,17
Laredo TX,16
West Palm Beach-Ft. Pierce FL,16
Kansas City MO,16
Lima OH,16
Anchorage AK,16
Las Vegas NV,16
Charlotte NC,16
Tucson (Sierra Vista) AZ,16
Toledo OH,16
Yuma AZ-El Centro CA,16
Ft. Myers-Naples FL,16
Providence RI-New Bedford MA,16
Dayton OH,16
Fresno-Visalia CA,16
Lansing MI,16
Cleveland-Akron (Canton) OH,15
Grand Junction-Montrose CO,15
Miami-Ft. Lauderdale FL,15
Dallas-Ft. Worth TX,15
Bakersfield CA,15
Springfield-Holyoke MA,15
Rockford IL,15
Spokane WA,15
Ft. Smith-Fayetteville-Springdale-Rogers AR,15
Philadelphia PA,14
Cincinnati OH,14
Marquette MI,14
Columbus OH,14
Abilene-Sweetwater TX,14
Missoula MT,14
Butte-Bozeman MT,14
San Angelo TX,14
Raleigh-Durham (Fayetteville) NC,14
Grand Rapids-Kalamazoo-Battle Creek MI,14
Pittsburgh PA,14
Topeka KS,14
Sioux City IA,14
Charleston SC,14
Fargo-Valley City ND,14
Harrisburg-Lancaster-Lebanon-York PA,14
Wichita-Hutchinson KS,13
Eureka CA,13
Wilmington NC,13
Milwaukee WI,13
Burlington VT-Plattsburgh NY,13
Twin Falls ID,13
Des Moines-Ames IA,12
Idaho Falls-Pocatello ID,12
Cheyenne WY-Scottsbluff NE,12
Green Bay-Appleton WI,12
Boise ID,12
Champaign & Springfield-Decatur IL,12
Duluth MN-Superior WI,12
New York NY,12
Peoria-Bloomington IL,11
Phoenix AZ,11
Washington DC (Hagerstown MD),11
Traverse City-Cadillac MI,11
Sacramento-Stockton-Modesto CA,11
Denver CO,11
Madison WI,10
Austin TX,10
Reno NV,10
Helena MT,10
Omaha NE,10
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,10
Chicago IL,10
Mankato MN,9
Detroit MI,9
Boston MA-Manchester NH,9
Santa Barbara-Santa Maria-San Luis Obispo CA,9
Seattle-Tacoma WA,9
Lincoln & Hastings-Kearney NE,9
La Crosse-Eau Claire WI,8
Minot-Bismarck-Dickinson(Williston) ND,8
Portland-Auburn ME,8
Sioux Falls(Mitchell) SD,8
Palm Springs CA,8
Salt Lake City UT,8
Wausau-Rhinelander WI,7
Minneapolis-St. Paul MN,7
Los Angeles CA,7
San Diego CA,6
San Francisco-Oakland-San Jose CA,6
Monterey-Salinas CA,5
Charlottesville VA,4
Rochester MN-Mason City IA-Austin MN,4
Rapid City SD,3
Alpena MI,
Juneau AK,
Glendive MT,
