Category: All categories

DMA,Supplemental Nutrition Assistance Program: (4/1/22 - 4/30/22)
Alexandria LA,100
Lafayette LA,73
Monroe LA-El Dorado AR,73
Greenwood-Greenville MS,62
Meridian MS,57
Shreveport LA,55
Lake Charles LA,55
Baton Rouge LA,53
Montgomery (Selma) AL,49
Zanesville OH,49
New Orleans LA,46
Charleston-Huntington WV,44
Dothan AL,39
Albany GA,39
Elmira NY,39
Corpus Christi TX,39
Syracuse NY,38
Clarksburg-Weston WV,37
Wichita Falls TX & Lawton OK,37
Lexington KY,36
Binghamton NY,36
Bowling Green KY,34
Tyler-Longview(Lufkin & Nacogdoches) TX,34
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,33
Columbus GA,33
Tri-Cities TN-VA,33
Birmingham AL,33
Utica NY,33
Jackson MS,33
Bluefield-Beckley-Oak Hill WV,33
Abilene-Sweetwater TX,33
Mobile AL-Pensacola (Ft. Walton Beach) FL,33
Hattiesburg-Laurel MS,32
Joplin MO-Pittsburg KS,32
Youngstown OH,32
Wheeling WV-Steubenville OH,32
Lubbock TX,32
Macon GA,32
Columbus-Tupelo-West Point MS,31
Memphis TN,31
Buffalo NY,31
Chattanooga TN,31
North Platte NE,30
Tallahassee FL-Thomasville GA,30
Medford-Klamath Falls OR,29
Biloxi-Gulfport MS,29
Rochester NY,29
Tulsa OK,29
Beaumont-Port Arthur TX,29
Laredo TX,28
Evansville IN,28
Terre Haute IN,28
Eugene OR,28
Jacksonville FL,28
Salisbury MD,28
Augusta GA,27
Victoria TX,27
Watertown NY,27
Jackson TN,27
Florence-Myrtle Beach SC,27
Louisville KY,27
Savannah GA,27
Presque Isle ME,27
Oklahoma City OK,26
Amarillo TX,26
Yuma AZ-El Centro CA,25
Hartford & New Haven CT,25
Albany-Schenectady-Troy NY,25
Sherman TX-Ada OK,25
Colorado Springs-Pueblo CO,25
Knoxville TN,24
Panama City FL,24
Ft. Wayne IN,24
Albuquerque-Santa Fe NM,24
Wilkes Barre-Scranton PA,23
Quincy IL-Hannibal MO-Keokuk IA,23
Waco-Temple-Bryan TX,23
Huntsville-Decatur (Florence) AL,23
Springfield MO,23
Bakersfield CA,23
Baltimore MD,23
Ottumwa IA-Kirksville MO,23
Roanoke-Lynchburg VA,23
Indianapolis IN,23
Helena MT,22
Columbia-Jefferson City MO,22
Erie PA,21
Gainesville FL,21
Columbia SC,21
Harrisonburg VA,21
Houston TX,21
Springfield-Holyoke MA,21
Greenville-Spartanburg SC-Asheville NC-Anderson SC,21
Norfolk-Portsmouth-Newport News VA,21
Greenville-New Bern-Washington NC,21
Casper-Riverton WY,20
Greensboro-High Point-Winston Salem NC,20
Great Falls MT,20
San Antonio TX,20
Harlingen-Weslaco-Brownsville-McAllen TX,20
Honolulu HI,20
Dayton OH,20
Richmond-Petersburg VA,20
Portland OR,20
Nashville TN,19
El Paso TX,19
South Bend-Elkhart IN,19
Anchorage AK,19
Chico-Redding CA,19
Providence RI-New Bedford MA,19
Orlando-Daytona Beach-Melbourne FL,19
Davenport IA-Rock Island-Moline IL,19
Eureka CA,19
Bend OR,19
Cleveland-Akron (Canton) OH,18
Rockford IL,18
West Palm Beach-Ft. Pierce FL,18
Bangor ME,18
"Billings, MT",18
Atlanta GA,18
Tampa-St. Petersburg (Sarasota) FL,18
Odessa-Midland TX,17
Yakima-Pasco-Richland-Kennewick WA,17
St. Louis MO,17
Parkersburg WV,17
San Angelo TX,17
Jonesboro AR,17
Traverse City-Cadillac MI,17
Charlotte NC,17
Cincinnati OH,17
Little Rock-Pine Bluff AR,17
Columbus OH,17
Las Vegas NV,17
Fresno-Visalia CA,17
Flint-Saginaw-Bay City MI,16
Johnstown-Altoona PA,16
Miami-Ft. Lauderdale FL,16
Duluth MN-Superior WI,16
Pittsburgh PA,16
Fairbanks AK,16
Ft. Smith-Fayetteville-Springdale-Rogers AR,16
Kansas City MO,16
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,16
Raleigh-Durham (Fayetteville) NC,15
Topeka KS,15
Philadelphia PA,15
Des Moines-Ames IA,15
Lansing MI,15
Toledo OH,15
Wichita-Hutchinson KS,15
Charleston SC,15
Dallas-Ft. Worth TX,15
Spokane WA,14
Tucson (Sierra Vista) AZ,14
Harrisburg-Lancaster-Lebanon-York PA,14
Burlington VT-Plattsburgh NY,13
Milwaukee WI,13
Cheyenne WY-Scottsbluff NE,13
Peoria-Bloomington IL,13
Missoula MT,13
Reno NV,13
New York NY,13
Champaign & Springfield-Decatur IL,13
Phoenix AZ,12
Grand Rapids-Kalamazoo-Battle Creek MI,12
Wilmington NC,12
Sioux City IA,12
Green Bay-Appleton WI,12
Minot-Bismarck-Dickinson(Williston) ND,12
Lafayette IN,11
La Crosse-Eau Claire WI,11
Rochester MN-Mason City IA-Austin MN,11
Ft. Myers-Naples FL,11
Washington DC (Hagerstown MD),11
Idaho Falls-Pocatello ID,11
Austin TX,11
Twin Falls ID,11
Omaha NE,11
Sacramento-Stockton-Modesto CA,10
Fargo-Valley City ND,10
Portland-Auburn ME,10
Detroit MI,10
Wausau-Rhinelander WI,10
Denver CO,10
Lincoln & Hastings-Kearney NE,10
Boston MA-Manchester NH,10
Chicago IL,9
Seattle-Tacoma WA,9
Sioux Falls(Mitchell) SD,9
Madison WI,9
Palm Springs CA,9
Lima OH,8
Salt Lake City UT,8
Boise ID,8
Grand Junction-Montrose CO,8
Minneapolis-St. Paul MN,7
Monterey-Salinas CA,7
Los Angeles CA,7
Marquette MI,7
Santa Barbara-Santa Maria-San Luis Obispo CA,6
Butte-Bozeman MT,6
San Diego CA,6
San Francisco-Oakland-San Jose CA,5
Rapid City SD,4
Charlottesville VA,2
Alpena MI,
St. Joseph MO,
Mankato MN,
Juneau AK,
Glendive MT,
