Category: All categories

DMA,Supplemental Nutrition Assistance Program: (6/1/22 - 6/30/22)
Alexandria LA,100
Monroe LA-El Dorado AR,98
Lafayette LA,91
Greenwood-Greenville MS,85
Lake Charles LA,84
Montgomery (Selma) AL,80
Baton Rouge LA,77
Shreveport LA,75
Bowling Green KY,73
Clarksburg-Weston WV,72
Bluefield-Beckley-Oak Hill WV,69
Alpena MI,69
New Orleans LA,67
Charleston-Huntington WV,66
Parkersburg WV,66
Beaumont-Port Arthur TX,66
Dothan AL,65
San Angelo TX,64
Columbus-Tupelo-West Point MS,63
Jackson MS,62
Albany GA,58
Biloxi-Gulfport MS,58
Joplin MO-Pittsburg KS,55
Memphis TN,54
Wichita Falls TX & Lawton OK,54
Hattiesburg-Laurel MS,54
Corpus Christi TX,54
St. Joseph MO,53
Tri-Cities TN-VA,53
Lexington KY,53
Columbus GA,52
Abilene-Sweetwater TX,51
Jackson TN,50
Birmingham AL,50
Terre Haute IN,49
Lubbock TX,49
Evansville IN,48
Tyler-Longview(Lufkin & Nacogdoches) TX,48
Tallahassee FL-Thomasville GA,46
Macon GA,46
Laredo TX,46
Victoria TX,45
Great Falls MT,44
Columbia SC,44
Hartford & New Haven CT,44
Elmira NY,44
Tulsa OK,43
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,42
Wheeling WV-Steubenville OH,41
Augusta GA,41
Florence-Myrtle Beach SC,41
Waco-Temple-Bryan TX,41
Oklahoma City OK,40
Mobile AL-Pensacola (Ft. Walton Beach) FL,40
Sherman TX-Ada OK,39
Gainesville FL,38
Indianapolis IN,38
Jacksonville FL,37
Amarillo TX,37
Huntsville-Decatur (Florence) AL,37
Youngstown OH,37
Louisville KY,37
Harlingen-Weslaco-Brownsville-McAllen TX,36
Medford-Klamath Falls OR,36
Binghamton NY,36
Greenville-New Bern-Washington NC,36
Greensboro-High Point-Winston Salem NC,35
Utica NY,35
Colorado Springs-Pueblo CO,35
Springfield MO,34
Albuquerque-Santa Fe NM,34
San Antonio TX,34
Baltimore MD,34
Chattanooga TN,33
Roanoke-Lynchburg VA,33
Panama City FL,33
Knoxville TN,33
Eugene OR,32
Quincy IL-Hannibal MO-Keokuk IA,31
Ft. Wayne IN,31
Meridian MS,31
Savannah GA,31
Houston TX,31
Wilkes Barre-Scranton PA,31
Buffalo NY,31
Greenville-Spartanburg SC-Asheville NC-Anderson SC,31
Jonesboro AR,30
Salisbury MD,30
Erie PA,30
Little Rock-Pine Bluff AR,30
El Paso TX,30
Zanesville OH,30
Toledo OH,29
"Billings, MT",29
Wilmington NC,29
Rochester NY,29
Nashville TN,29
Columbus OH,29
Albany-Schenectady-Troy NY,28
Springfield-Holyoke MA,28
Charlotte NC,28
West Palm Beach-Ft. Pierce FL,28
Cleveland-Akron (Canton) OH,28
Johnstown-Altoona PA,28
Raleigh-Durham (Fayetteville) NC,28
Tampa-St. Petersburg (Sarasota) FL,28
Providence RI-New Bedford MA,27
Norfolk-Portsmouth-Newport News VA,27
Odessa-Midland TX,27
Harrisonburg VA,27
Ottumwa IA-Kirksville MO,27
Presque Isle ME,27
Wichita-Hutchinson KS,26
Atlanta GA,26
Grand Junction-Montrose CO,26
Cincinnati OH,26
Pittsburgh PA,26
Orlando-Daytona Beach-Melbourne FL,26
Dayton OH,26
Harrisburg-Lancaster-Lebanon-York PA,26
Portland OR,26
Syracuse NY,26
Ft. Smith-Fayetteville-Springdale-Rogers AR,25
Richmond-Petersburg VA,25
Las Vegas NV,25
St. Louis MO,25
Dallas-Ft. Worth TX,25
Watertown NY,25
Yakima-Pasco-Richland-Kennewick WA,25
Columbia-Jefferson City MO,25
Flint-Saginaw-Bay City MI,24
Yuma AZ-El Centro CA,24
Eureka CA,24
Kansas City MO,24
South Bend-Elkhart IN,23
Ft. Myers-Naples FL,23
Honolulu HI,23
Fresno-Visalia CA,23
Lansing MI,22
Reno NV,22
Davenport IA-Rock Island-Moline IL,22
Rockford IL,22
Grand Rapids-Kalamazoo-Battle Creek MI,22
Spokane WA,22
Chico-Redding CA,22
Anchorage AK,22
Miami-Ft. Lauderdale FL,21
Philadelphia PA,21
Missoula MT,20
Peoria-Bloomington IL,20
Wausau-Rhinelander WI,20
Bakersfield CA,20
Lima OH,20
Charleston SC,19
Rochester MN-Mason City IA-Austin MN,19
Palm Springs CA,18
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,18
Champaign & Springfield-Decatur IL,18
New York NY,18
Duluth MN-Superior WI,18
Boise ID,18
Milwaukee WI,17
Topeka KS,17
Austin TX,17
Washington DC (Hagerstown MD),17
Omaha NE,16
Butte-Bozeman MT,16
Tucson (Sierra Vista) AZ,16
Des Moines-Ames IA,16
Lafayette IN,16
Denver CO,15
Phoenix AZ,15
Minot-Bismarck-Dickinson(Williston) ND,15
Fargo-Valley City ND,15
Burlington VT-Plattsburgh NY,14
Bangor ME,14
Mankato MN,14
Helena MT,14
Sioux Falls(Mitchell) SD,14
Chicago IL,14
Detroit MI,14
Traverse City-Cadillac MI,14
Portland-Auburn ME,13
Madison WI,13
Marquette MI,13
Idaho Falls-Pocatello ID,13
Casper-Riverton WY,13
Green Bay-Appleton WI,13
Boston MA-Manchester NH,12
Minneapolis-St. Paul MN,12
Sacramento-Stockton-Modesto CA,12
Salt Lake City UT,11
Seattle-Tacoma WA,11
Twin Falls ID,11
Lincoln & Hastings-Kearney NE,11
Santa Barbara-Santa Maria-San Luis Obispo CA,10
Rapid City SD,10
Los Angeles CA,10
Fairbanks AK,10
La Crosse-Eau Claire WI,10
Charlottesville VA,8
San Diego CA,8
Monterey-Salinas CA,8
San Francisco-Oakland-San Jose CA,8
Bend OR,7
Sioux City IA,5
North Platte NE,
Juneau AK,
Cheyenne WY-Scottsbluff NE,
Glendive MT,
