Category: All categories

DMA,food pantry: (6/1/22 - 6/30/22)
St. Joseph MO,100
Terre Haute IN,77
Fargo-Valley City ND,64
La Crosse-Eau Claire WI,56
Clarksburg-Weston WV,53
Davenport IA-Rock Island-Moline IL,53
Watertown NY,50
Rockford IL,45
Green Bay-Appleton WI,44
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,43
Lafayette IN,42
Wausau-Rhinelander WI,42
Madison WI,42
Utica NY,40
Des Moines-Ames IA,40
Peoria-Bloomington IL,36
Indianapolis IN,36
Quincy IL-Hannibal MO-Keokuk IA,35
Dayton OH,35
Elmira NY,34
South Bend-Elkhart IN,34
Mankato MN,32
Columbus OH,32
Ottumwa IA-Kirksville MO,31
Binghamton NY,29
Omaha NE,29
Wichita Falls TX & Lawton OK,28
Lima OH,28
Albany-Schenectady-Troy NY,28
Butte-Bozeman MT,28
Lexington KY,28
Joplin MO-Pittsburg KS,27
Minot-Bismarck-Dickinson(Williston) ND,27
Ft. Smith-Fayetteville-Springdale-Rogers AR,27
Bluefield-Beckley-Oak Hill WV,27
Portland-Auburn ME,27
San Angelo TX,27
Jonesboro AR,26
St. Louis MO,25
Marquette MI,25
Memphis TN,25
Milwaukee WI,24
Kansas City MO,24
Champaign & Springfield-Decatur IL,23
Chicago IL,23
Evansville IN,23
Sioux Falls(Mitchell) SD,23
Syracuse NY,23
Ft. Myers-Naples FL,22
Springfield MO,22
Hattiesburg-Laurel MS,21
Cincinnati OH,21
Traverse City-Cadillac MI,21
Columbia-Jefferson City MO,20
Corpus Christi TX,20
Sioux City IA,20
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,19
Rochester NY,19
Charleston-Huntington WV,19
Buffalo NY,19
Waco-Temple-Bryan TX,19
Grand Rapids-Kalamazoo-Battle Creek MI,19
Boston MA-Manchester NH,18
Dallas-Ft. Worth TX,18
Tampa-St. Petersburg (Sarasota) FL,18
Oklahoma City OK,17
Bend OR,17
Knoxville TN,17
Flint-Saginaw-Bay City MI,17
Springfield-Holyoke MA,17
