Category: All categories

DMA,food pantry: (6/1/22 - 6/30/22)
Tulsa OK,17
Harrisonburg VA,17
Lafayette LA,16
Wheeling WV-Steubenville OH,16
Shreveport LA,16
Harrisburg-Lancaster-Lebanon-York PA,15
San Antonio TX,15
Jackson MS,15
Topeka KS,15
Jacksonville FL,15
Hartford & New Haven CT,15
Missoula MT,15
Tyler-Longview(Lufkin & Nacogdoches) TX,15
Columbus GA,15
Greensboro-High Point-Winston Salem NC,14
Little Rock-Pine Bluff AR,14
Charleston SC,14
Boise ID,14
Duluth MN-Superior WI,14
Louisville KY,14
Providence RI-New Bedford MA,14
Salisbury MD,14
Macon GA,13
Wichita-Hutchinson KS,13
Atlanta GA,12
Burlington VT-Plattsburgh NY,12
Lincoln & Hastings-Kearney NE,12
Orlando-Daytona Beach-Melbourne FL,12
Greenville-Spartanburg SC-Asheville NC-Anderson SC,12
Wilkes Barre-Scranton PA,12
Youngstown OH,12
Cleveland-Akron (Canton) OH,12
Colorado Springs-Pueblo CO,12
Odessa-Midland TX,11
Austin TX,11
Roanoke-Lynchburg VA,11
Palm Springs CA,11
Richmond-Petersburg VA,11
Salt Lake City UT,11
Houston TX,10
Raleigh-Durham (Fayetteville) NC,10
Detroit MI,10
El Paso TX,10
Biloxi-Gulfport MS,10
Lansing MI,9
Charlotte NC,9
Philadelphia PA,9
Minneapolis-St. Paul MN,9
Toledo OH,9
Medford-Klamath Falls OR,9
New York NY,9
Fresno-Visalia CA,9
Nashville TN,9
Anchorage AK,9
Harlingen-Weslaco-Brownsville-McAllen TX,9
Sherman TX-Ada OK,9
Reno NV,8
West Palm Beach-Ft. Pierce FL,8
Portland OR,8
Montgomery (Selma) AL,8
Eugene OR,8
Greenville-New Bern-Washington NC,8
Tri-Cities TN-VA,8
New Orleans LA,7
Pittsburgh PA,7
Washington DC (Hagerstown MD),7
Baltimore MD,7
Phoenix AZ,6
Chattanooga TN,6
Lubbock TX,6
Panama City FL,6
Albuquerque-Santa Fe NM,5
Los Angeles CA,5
Seattle-Tacoma WA,5
Mobile AL-Pensacola (Ft. Walton Beach) FL,5
Columbia SC,5
San Francisco-Oakland-San Jose CA,5
Las Vegas NV,5
Wilmington NC,5
Spokane WA,5
San Diego CA,5
Denver CO,5
Norfolk-Portsmouth-Newport News VA,5
Huntsville-Decatur (Florence) AL,4
Miami-Ft. Lauderdale FL,4
Santa Barbara-Santa Maria-San Luis Obispo CA,4
Bakersfield CA,4
Augusta GA,4
Tucson (Sierra Vista) AZ,4
Savannah GA,3
Sacramento-Stockton-Modesto CA,2
Birmingham AL,2
Victoria TX,
Zanesville OH,
Juneau AK,
Lake Charles LA,
Jackson TN,
Eureka CA,
Albany GA,
Ft. Wayne IN,
Erie PA,
Tallahassee FL-Thomasville GA,
Bangor ME,
Presque Isle ME,
Florence-Myrtle Beach SC,
Johnstown-Altoona PA,
Alpena MI,
Charlottesville VA,
Gainesville FL,
Parkersburg WV,
Dothan AL,
Rochester MN-Mason City IA-Austin MN,
Monroe LA-El Dorado AR,
Amarillo TX,
Alexandria LA,
Greenwood-Greenville MS,
Abilene-Sweetwater TX,
Columbus-Tupelo-West Point MS,
Beaumont-Port Arthur TX,
Meridian MS,
Baton Rouge LA,
Bowling Green KY,
North Platte NE,
Honolulu HI,
Fairbanks AK,
Laredo TX,
Great Falls MT,
"Billings, MT",
Idaho Falls-Pocatello ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Rapid City SD,
Helena MT,
Casper-Riverton WY,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Glendive MT,
Yakima-Pasco-Richland-Kennewick WA,
Monterey-Salinas CA,
Chico-Redding CA,
