Category: All categories

DMA,food pantry: (1/1/22 - 1/31/22)
Bangor ME,100
Fargo-Valley City ND,98
Lafayette IN,84
Portland-Auburn ME,83
Rockford IL,81
Jonesboro AR,70
La Crosse-Eau Claire WI,66
Indianapolis IN,65
Mankato MN,64
Utica NY,64
Rapid City SD,63
Quincy IL-Hannibal MO-Keokuk IA,63
Green Bay-Appleton WI,62
Madison WI,61
Traverse City-Cadillac MI,57
Milwaukee WI,56
Ft. Smith-Fayetteville-Springdale-Rogers AR,54
South Bend-Elkhart IN,53
Clarksburg-Weston WV,52
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,52
Sioux Falls(Mitchell) SD,49
Dayton OH,48
Lafayette LA,47
Elmira NY,47
Columbus OH,46
Wausau-Rhinelander WI,46
Rochester MN-Mason City IA-Austin MN,45
Kansas City MO,45
St. Louis MO,45
Columbia-Jefferson City MO,44
Butte-Bozeman MT,43
Lincoln & Hastings-Kearney NE,43
Lansing MI,43
Albany-Schenectady-Troy NY,42
Memphis TN,42
Chicago IL,41
San Angelo TX,40
Peoria-Bloomington IL,40
Omaha NE,38
Terre Haute IN,38
Syracuse NY,36
Anchorage AK,36
Davenport IA-Rock Island-Moline IL,36
Champaign & Springfield-Decatur IL,36
Springfield MO,34
Burlington VT-Plattsburgh NY,33
Lexington KY,33
Springfield-Holyoke MA,33
Cincinnati OH,32
Lubbock TX,32
Boston MA-Manchester NH,31
Greensboro-High Point-Winston Salem NC,31
Harrisonburg VA,31
Minot-Bismarck-Dickinson(Williston) ND,30
Oklahoma City OK,30
Waco-Temple-Bryan TX,29
Evansville IN,29
Grand Rapids-Kalamazoo-Battle Creek MI,29
Johnstown-Altoona PA,28
Cleveland-Akron (Canton) OH,27
Hartford & New Haven CT,27
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,26
Palm Springs CA,26
Beaumont-Port Arthur TX,25
Bend OR,25
Toledo OH,25
Hattiesburg-Laurel MS,25
Flint-Saginaw-Bay City MI,25
Augusta GA,25
Abilene-Sweetwater TX,25
Wichita Falls TX & Lawton OK,25
Knoxville TN,24
Joplin MO-Pittsburg KS,23
Montgomery (Selma) AL,23
Wilmington NC,23
Buffalo NY,23
Sioux City IA,23
Wilkes Barre-Scranton PA,22
Columbus-Tupelo-West Point MS,21
Topeka KS,20
Tampa-St. Petersburg (Sarasota) FL,20
Providence RI-New Bedford MA,20
Charleston-Huntington WV,19
Reno NV,19
Dallas-Ft. Worth TX,19
Tyler-Longview(Lufkin & Nacogdoches) TX,18
Louisville KY,18
Tulsa OK,18
Des Moines-Ames IA,18
Raleigh-Durham (Fayetteville) NC,18
Shreveport LA,17
Monroe LA-El Dorado AR,17
Macon GA,17
Ft. Myers-Naples FL,17
Jacksonville FL,17
Detroit MI,17
Boise ID,17
Spokane WA,16
Portland OR,16
Austin TX,16
Greenville-Spartanburg SC-Asheville NC-Anderson SC,16
Philadelphia PA,15
Salt Lake City UT,15
Ft. Wayne IN,15
Baton Rouge LA,15
Bakersfield CA,15
New York NY,14
Chattanooga TN,14
San Antonio TX,14
Atlanta GA,14
Wichita-Hutchinson KS,14
Orlando-Daytona Beach-Melbourne FL,13
Greenville-New Bern-Washington NC,13
West Palm Beach-Ft. Pierce FL,13
Washington DC (Hagerstown MD),13
Baltimore MD,13
Pittsburgh PA,12
Harlingen-Weslaco-Brownsville-McAllen TX,12
Eugene OR,12
Norfolk-Portsmouth-Newport News VA,12
New Orleans LA,11
Honolulu HI,11
Tucson (Sierra Vista) AZ,10
Houston TX,10
Charlotte NC,10
Huntsville-Decatur (Florence) AL,10
Savannah GA,10
Nashville TN,10
Richmond-Petersburg VA,9
Seattle-Tacoma WA,9
Denver CO,9
Albuquerque-Santa Fe NM,9
Rochester NY,9
San Francisco-Oakland-San Jose CA,9
Birmingham AL,9
Charleston SC,9
Las Vegas NV,9
Mobile AL-Pensacola (Ft. Walton Beach) FL,9
Florence-Myrtle Beach SC,9
