Category: All categories

DMA,food pantry: (2/1/22 - 2/28/22)
Presque Isle ME,100
Ottumwa IA-Kirksville MO,96
Mankato MN,82
Rockford IL,77
Terre Haute IN,65
Minot-Bismarck-Dickinson(Williston) ND,62
Madison WI,61
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,58
Cheyenne WY-Scottsbluff NE,53
Parkersburg WV,50
Duluth MN-Superior WI,49
Columbus OH,49
Columbus GA,47
Quincy IL-Hannibal MO-Keokuk IA,47
Portland-Auburn ME,46
Elmira NY,43
Marquette MI,42
Albany-Schenectady-Troy NY,41
Green Bay-Appleton WI,39
Wausau-Rhinelander WI,38
Indianapolis IN,38
Joplin MO-Pittsburg KS,38
Davenport IA-Rock Island-Moline IL,36
Columbia-Jefferson City MO,36
Omaha NE,34
Syracuse NY,34
Kansas City MO,33
Fargo-Valley City ND,32
Des Moines-Ames IA,32
Monroe LA-El Dorado AR,31
Chicago IL,31
Rochester NY,31
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,30
Odessa-Midland TX,30
Salisbury MD,30
Watertown NY,29
Milwaukee WI,29
Bluefield-Beckley-Oak Hill WV,28
Palm Springs CA,28
Ft. Smith-Fayetteville-Springdale-Rogers AR,28
Springfield MO,28
Champaign & Springfield-Decatur IL,27
Anchorage AK,27
Sioux City IA,26
St. Louis MO,26
Wheeling WV-Steubenville OH,25
Lafayette IN,25
Boston MA-Manchester NH,25
Chico-Redding CA,24
Lincoln & Hastings-Kearney NE,24
Burlington VT-Plattsburgh NY,23
Flint-Saginaw-Bay City MI,23
Erie PA,23
Jonesboro AR,23
Dayton OH,23
Columbus-Tupelo-West Point MS,22
Memphis TN,22
Peoria-Bloomington IL,22
Panama City FL,22
Knoxville TN,22
Ft. Myers-Naples FL,22
Binghamton NY,21
South Bend-Elkhart IN,21
Cincinnati OH,21
Evansville IN,21
Richmond-Petersburg VA,21
Bangor ME,21
Boise ID,20
Traverse City-Cadillac MI,20
Lansing MI,20
Little Rock-Pine Bluff AR,20
Cleveland-Akron (Canton) OH,20
Tyler-Longview(Lufkin & Nacogdoches) TX,19
Corpus Christi TX,19
Charleston SC,19
Jacksonville FL,18
Bend OR,18
Buffalo NY,18
Abilene-Sweetwater TX,17
Providence RI-New Bedford MA,17
Rochester MN-Mason City IA-Austin MN,17
Lubbock TX,17
Tampa-St. Petersburg (Sarasota) FL,17
Charleston-Huntington WV,17
Lexington KY,17
El Paso TX,16
Grand Rapids-Kalamazoo-Battle Creek MI,16
Utica NY,16
Harrisonburg VA,16
Hartford & New Haven CT,16
Wichita Falls TX & Lawton OK,16
Wilmington NC,16
Shreveport LA,16
Reno NV,16
Topeka KS,16
Biloxi-Gulfport MS,15
Idaho Falls-Pocatello ID,15
Johnstown-Altoona PA,15
Louisville KY,15
Wilkes Barre-Scranton PA,15
Salt Lake City UT,15
West Palm Beach-Ft. Pierce FL,15
Tallahassee FL-Thomasville GA,14
Wichita-Hutchinson KS,14
Detroit MI,14
Greenville-Spartanburg SC-Asheville NC-Anderson SC,14
Pittsburgh PA,14
Baltimore MD,14
New Orleans LA,14
Sioux Falls(Mitchell) SD,14
Austin TX,14
Dallas-Ft. Worth TX,14
Ft. Wayne IN,14
Portland OR,14
Colorado Springs-Pueblo CO,13
Springfield-Holyoke MA,13
Youngstown OH,13
Waco-Temple-Bryan TX,13
Huntsville-Decatur (Florence) AL,13
Norfolk-Portsmouth-Newport News VA,13
Eugene OR,13
New York NY,13
Charlotte NC,13
La Crosse-Eau Claire WI,13
Missoula MT,12
Oklahoma City OK,12
Baton Rouge LA,12
Birmingham AL,12
Orlando-Daytona Beach-Melbourne FL,12
Atlanta GA,12
Chattanooga TN,11
Philadelphia PA,11
Greensboro-High Point-Winston Salem NC,11
Harlingen-Weslaco-Brownsville-McAllen TX,11
Roanoke-Lynchburg VA,10
Denver CO,10
Spokane WA,10
San Antonio TX,10
Raleigh-Durham (Fayetteville) NC,10
Houston TX,10
Nashville TN,9
Tulsa OK,9
Las Vegas NV,9
Sacramento-Stockton-Modesto CA,9
Harrisburg-Lancaster-Lebanon-York PA,9
Savannah GA,9
Santa Barbara-Santa Maria-San Luis Obispo CA,9
San Francisco-Oakland-San Jose CA,8
Columbia SC,8
Seattle-Tacoma WA,8
Tucson (Sierra Vista) AZ,7
Lafayette LA,7
Fresno-Visalia CA,7
Washington DC (Hagerstown MD),7
Macon GA,7
Los Angeles CA,7
Tri-Cities TN-VA,6
Charlottesville VA,6
Greenville-New Bern-Washington NC,6
San Diego CA,6
Phoenix AZ,6
Mobile AL-Pensacola (Ft. Walton Beach) FL,4
Honolulu HI,4
Miami-Ft. Lauderdale FL,4
Minneapolis-St. Paul MN,3
Glendive MT,
Juneau AK,
Fairbanks AK,
Greenwood-Greenville MS,
Casper-Riverton WY,
"Billings, MT",
Albany GA,
Augusta GA,
Toledo OH,
Lima OH,
Florence-Myrtle Beach SC,
Alpena MI,
Gainesville FL,
Zanesville OH,
Clarksburg-Weston WV,
Dothan AL,
Victoria TX,
Amarillo TX,
St. Joseph MO,
Jackson TN,
Lake Charles LA,
Alexandria LA,
Sherman TX-Ada OK,
San Angelo TX,
Beaumont-Port Arthur TX,
Montgomery (Selma) AL,
Hattiesburg-Laurel MS,
Meridian MS,
Jackson MS,
Bowling Green KY,
North Platte NE,
Laredo TX,
Butte-Bozeman MT,
Great Falls MT,
Twin Falls ID,
Rapid City SD,
Helena MT,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Albuquerque-Santa Fe NM,
Bakersfield CA,
Eureka CA,
Yakima-Pasco-Richland-Kennewick WA,
Medford-Klamath Falls OR,
Monterey-Salinas CA,
