Category: All categories

DMA,food pantry: (12/1/22 - 12/31/22)
Presque Isle ME,100
Abilene-Sweetwater TX,46
Quincy IL-Hannibal MO-Keokuk IA,46
St. Joseph MO,44
Parkersburg WV,43
Madison WI,40
Wausau-Rhinelander WI,39
Portland-Auburn ME,37
Traverse City-Cadillac MI,37
Mankato MN,35
Indianapolis IN,33
Des Moines-Ames IA,33
Columbia-Jefferson City MO,32
Elmira NY,32
Davenport IA-Rock Island-Moline IL,31
Lafayette IN,31
Minot-Bismarck-Dickinson(Williston) ND,30
Columbus OH,30
Albany-Schenectady-Troy NY,28
Fargo-Valley City ND,28
South Bend-Elkhart IN,28
Green Bay-Appleton WI,28
Milwaukee WI,27
Sioux Falls(Mitchell) SD,27
Erie PA,26
Bangor ME,26
St. Louis MO,26
Rockford IL,25
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,24
Columbus GA,24
Anchorage AK,23
Peoria-Bloomington IL,23
Omaha NE,23
Cheyenne WY-Scottsbluff NE,22
Syracuse NY,22
Kansas City MO,22
Chicago IL,22
Ft. Smith-Fayetteville-Springdale-Rogers AR,21
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,21
Springfield MO,20
Providence RI-New Bedford MA,20
Watertown NY,20
Bowling Green KY,20
Hartford & New Haven CT,19
Terre Haute IN,19
Burlington VT-Plattsburgh NY,19
Boston MA-Manchester NH,19
Biloxi-Gulfport MS,18
Tri-Cities TN-VA,18
Champaign & Springfield-Decatur IL,18
Dayton OH,18
Springfield-Holyoke MA,17
Memphis TN,16
Utica NY,16
Grand Rapids-Kalamazoo-Battle Creek MI,16
Charleston-Huntington WV,16
Bluefield-Beckley-Oak Hill WV,16
Lansing MI,15
Buffalo NY,15
La Crosse-Eau Claire WI,15
Knoxville TN,15
Cleveland-Akron (Canton) OH,15
Little Rock-Pine Bluff AR,14
Oklahoma City OK,14
Sherman TX-Ada OK,14
Lincoln & Hastings-Kearney NE,14
Shreveport LA,14
Twin Falls ID,14
Panama City FL,14
Salisbury MD,14
Colorado Springs-Pueblo CO,14
Duluth MN-Superior WI,13
Lexington KY,13
Cincinnati OH,13
Norfolk-Portsmouth-Newport News VA,13
Rochester NY,13
Clarksburg-Weston WV,13
Youngstown OH,13
Dallas-Ft. Worth TX,12
Waco-Temple-Bryan TX,12
Florence-Myrtle Beach SC,12
Monterey-Salinas CA,12
Honolulu HI,12
Rapid City SD,12
Tampa-St. Petersburg (Sarasota) FL,12
Amarillo TX,12
Greensboro-High Point-Winston Salem NC,11
Flint-Saginaw-Bay City MI,11
Gainesville FL,11
Ft. Wayne IN,11
Roanoke-Lynchburg VA,11
Louisville KY,11
Charlottesville VA,11
Jacksonville FL,11
Ft. Myers-Naples FL,10
Detroit MI,10
Wilkes Barre-Scranton PA,10
Atlanta GA,10
Beaumont-Port Arthur TX,10
Harrisburg-Lancaster-Lebanon-York PA,10
Sioux City IA,10
Lafayette LA,10
Hattiesburg-Laurel MS,10
Missoula MT,10
Salt Lake City UT,10
Tulsa OK,10
Eugene OR,10
Toledo OH,10
Raleigh-Durham (Fayetteville) NC,10
Reno NV,10
Idaho Falls-Pocatello ID,10
Columbus-Tupelo-West Point MS,9
Charlotte NC,9
Portland OR,9
Bakersfield CA,9
Savannah GA,9
Austin TX,9
Philadelphia PA,9
New York NY,9
Topeka KS,9
Evansville IN,9
Chico-Redding CA,9
Corpus Christi TX,8
Harrisonburg VA,8
Tucson (Sierra Vista) AZ,8
Binghamton NY,8
Nashville TN,8
Wichita Falls TX & Lawton OK,8
Johnstown-Altoona PA,8
Houston TX,8
Baltimore MD,8
Harlingen-Weslaco-Brownsville-McAllen TX,8
Macon GA,8
Joplin MO-Pittsburg KS,7
Boise ID,7
Santa Barbara-Santa Maria-San Luis Obispo CA,7
Wichita-Hutchinson KS,7
Greenville-Spartanburg SC-Asheville NC-Anderson SC,7
El Paso TX,7
Orlando-Daytona Beach-Melbourne FL,7
West Palm Beach-Ft. Pierce FL,6
Tallahassee FL-Thomasville GA,6
Richmond-Petersburg VA,6
Washington DC (Hagerstown MD),6
Albuquerque-Santa Fe NM,6
Augusta GA,6
San Antonio TX,6
Jackson MS,6
Baton Rouge LA,6
Pittsburgh PA,5
San Diego CA,5
Huntsville-Decatur (Florence) AL,5
Denver CO,5
San Francisco-Oakland-San Jose CA,4
Tyler-Longview(Lufkin & Nacogdoches) TX,4
Phoenix AZ,4
Los Angeles CA,4
Minneapolis-St. Paul MN,4
Yakima-Pasco-Richland-Kennewick WA,4
Columbia SC,3
Spokane WA,3
Seattle-Tacoma WA,3
Las Vegas NV,3
Chattanooga TN,3
Miami-Ft. Lauderdale FL,2
Birmingham AL,2
Sacramento-Stockton-Modesto CA,2
New Orleans LA,2
Fresno-Visalia CA,2
Glendive MT,
Alpena MI,
Meridian MS,
Lake Charles LA,
Alexandria LA,
Laredo TX,
Dothan AL,
Charleston SC,
Albany GA,
Greenville-New Bern-Washington NC,
Wilmington NC,
Marquette MI,
Wheeling WV-Steubenville OH,
Lima OH,
Zanesville OH,
Rochester MN-Mason City IA-Austin MN,
Victoria TX,
Monroe LA-El Dorado AR,
Ottumwa IA-Kirksville MO,
Odessa-Midland TX,
Jackson TN,
Greenwood-Greenville MS,
Lubbock TX,
San Angelo TX,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Montgomery (Selma) AL,
Jonesboro AR,
North Platte NE,
Fairbanks AK,
Juneau AK,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Helena MT,
Casper-Riverton WY,
Yuma AZ-El Centro CA,
Grand Junction-Montrose CO,
Eureka CA,
Palm Springs CA,
Medford-Klamath Falls OR,
Bend OR,
