Category: All categories

DMA,calfresh: (1/1/22 - 2/28/22)
Eureka CA,100
Chico-Redding CA,69
Fresno-Visalia CA,63
Bakersfield CA,60
Monterey-Salinas CA,46
Sacramento-Stockton-Modesto CA,44
San Diego CA,41
Santa Barbara-Santa Maria-San Luis Obispo CA,38
Los Angeles CA,36
Palm Springs CA,31
San Francisco-Oakland-San Jose CA,28
Yuma AZ-El Centro CA,18
Medford-Klamath Falls OR,8
Reno NV,7
Las Vegas NV,3
Honolulu HI,2
Detroit MI,2
Portland OR,1
Austin TX,1
Phoenix AZ,1
Dallas-Ft. Worth TX,<1
New York NY,<1
North Platte NE,
Mankato MN,
Marquette MI,
San Angelo TX,
Duluth MN-Superior WI,
Wausau-Rhinelander WI,
Corpus Christi TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
Utica NY,
Idaho Falls-Pocatello ID,
Shreveport LA,
Evansville IN,
Binghamton NY,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Sioux Falls(Mitchell) SD,
Toledo OH,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Davenport IA-Rock Island-Moline IL,
Albany-Schenectady-Troy NY,
Florence-Myrtle Beach SC,
Tallahassee FL-Thomasville GA,
Knoxville TN,
Huntsville-Decatur (Florence) AL,
Springfield MO,
Ft. Myers-Naples FL,
Harlingen-Weslaco-Brownsville-McAllen TX,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Columbia SC,
Louisville KY,
New Orleans LA,
Waco-Temple-Bryan TX,
Tucson (Sierra Vista) AZ,
Hartford & New Haven CT,
Pittsburgh PA,
Harrisburg-Lancaster-Lebanon-York PA,
Milwaukee WI,
Baltimore MD,
Portland-Auburn ME,
Macon GA,
Philadelphia PA,
Boston MA-Manchester NH,
Savannah GA,
Ft. Wayne IN,
Cleveland-Akron (Canton) OH,
Washington DC (Hagerstown MD),
Flint-Saginaw-Bay City MI,
Buffalo NY,
Cincinnati OH,
Erie PA,
Charlotte NC,
Greensboro-High Point-Winston Salem NC,
Charleston SC,
Augusta GA,
Providence RI-New Bedford MA,
Columbus GA,
Burlington VT-Plattsburgh NY,
Atlanta GA,
Albany GA,
Indianapolis IN,
Miami-Ft. Lauderdale FL,
Tri-Cities TN-VA,
Orlando-Daytona Beach-Melbourne FL,
Columbus OH,
Youngstown OH,
Bangor ME,
Rochester NY,
Tampa-St. Petersburg (Sarasota) FL,
Traverse City-Cadillac MI,
Lexington KY,
Dayton OH,
Springfield-Holyoke MA,
Norfolk-Portsmouth-Newport News VA,
Greenville-New Bern-Washington NC,
West Palm Beach-Ft. Pierce FL,
Watertown NY,
Wilmington NC,
Lansing MI,
Presque Isle ME,
Wheeling WV-Steubenville OH,
Syracuse NY,
Richmond-Petersburg VA,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Raleigh-Durham (Fayetteville) NC,
Jacksonville FL,
Grand Rapids-Kalamazoo-Battle Creek MI,
Charleston-Huntington WV,
Elmira NY,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,
Harrisonburg VA,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Salisbury MD,
Wilkes Barre-Scranton PA,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Zanesville OH,
Parkersburg WV,
Clarksburg-Weston WV,
Chicago IL,
Joplin MO-Pittsburg KS,
Columbia-Jefferson City MO,
Topeka KS,
Dothan AL,
St. Louis MO,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Minneapolis-St. Paul MN,
Kansas City MO,
Houston TX,
Sioux City IA,
Victoria TX,
Wichita Falls TX & Lawton OK,
Monroe LA-El Dorado AR,
Birmingham AL,
Ottumwa IA-Kirksville MO,
Odessa-Midland TX,
Amarillo TX,
St. Joseph MO,
Jackson TN,
Memphis TN,
San Antonio TX,
Lafayette LA,
Lake Charles LA,
Alexandria LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Oklahoma City OK,
Lubbock TX,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Green Bay-Appleton WI,
Nashville TN,
Abilene-Sweetwater TX,
Madison WI,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Peoria-Bloomington IL,
Wichita-Hutchinson KS,
Des Moines-Ames IA,
Minot-Bismarck-Dickinson(Williston) ND,
Beaumont-Port Arthur TX,
Little Rock-Pine Bluff AR,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Hattiesburg-Laurel MS,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Jackson MS,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Jonesboro AR,
Bowling Green KY,
Anchorage AK,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Denver CO,
Colorado Springs-Pueblo CO,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Boise ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
Rapid City SD,
El Paso TX,
Helena MT,
Casper-Riverton WY,
Salt Lake City UT,
Grand Junction-Montrose CO,
Albuquerque-Santa Fe NM,
Glendive MT,
Eugene OR,
Yakima-Pasco-Richland-Kennewick WA,
Seattle-Tacoma WA,
Bend OR,
Spokane WA,
