Category: All categories

DMA,calfresh: (4/1/22 - 4/30/22)
Chico-Redding CA,100
Eureka CA,98
Bakersfield CA,78
Fresno-Visalia CA,77
Sacramento-Stockton-Modesto CA,62
Santa Barbara-Santa Maria-San Luis Obispo CA,58
Los Angeles CA,53
San Diego CA,52
Monterey-Salinas CA,41
San Francisco-Oakland-San Jose CA,35
Yuma AZ-El Centro CA,20
Medford-Klamath Falls OR,12
Palm Springs CA,8
Reno NV,5
Honolulu HI,5
Cincinnati OH,4
Las Vegas NV,2
Portland OR,1
Phoenix AZ,1
Salt Lake City UT,1
Seattle-Tacoma WA,1
Dallas-Ft. Worth TX,1
New York NY,1
Denver CO,1
Philadelphia PA,1
Miami-Ft. Lauderdale FL,1
Houston TX,<1
Washington DC (Hagerstown MD),<1
Parkersburg WV,
Jonesboro AR,
Utica NY,
Mankato MN,
Columbia-Jefferson City MO,
Sioux Falls(Mitchell) SD,
Alexandria LA,
Sioux City IA,
Hattiesburg-Laurel MS,
Tyler-Longview(Lufkin & Nacogdoches) TX,
Jackson TN,
Idaho Falls-Pocatello ID,
Duluth MN-Superior WI,
Rapid City SD,
Huntsville-Decatur (Florence) AL,
Tallahassee FL-Thomasville GA,
Lubbock TX,
Toledo OH,
Green Bay-Appleton WI,
Topeka KS,
Lexington KY,
Spokane WA,
Springfield-Holyoke MA,
Lansing MI,
Columbia SC,
Rochester NY,
Harrisburg-Lancaster-Lebanon-York PA,
Mobile AL-Pensacola (Ft. Walton Beach) FL,
Birmingham AL,
Louisville KY,
Milwaukee WI,
Kansas City MO,
Indianapolis IN,
Portland-Auburn ME,
Binghamton NY,
Macon GA,
Detroit MI,
Boston MA-Manchester NH,
Savannah GA,
Pittsburgh PA,
Ft. Wayne IN,
Cleveland-Akron (Canton) OH,
Baltimore MD,
Flint-Saginaw-Bay City MI,
Buffalo NY,
Erie PA,
Charlotte NC,
Greensboro-High Point-Winston Salem NC,
Charleston SC,
Augusta GA,
Providence RI-New Bedford MA,
Columbus GA,
Burlington VT-Plattsburgh NY,
Atlanta GA,
Albany GA,
Tri-Cities TN-VA,
Albany-Schenectady-Troy NY,
Hartford & New Haven CT,
Orlando-Daytona Beach-Melbourne FL,
Columbus OH,
Youngstown OH,
Bangor ME,
Tampa-St. Petersburg (Sarasota) FL,
Traverse City-Cadillac MI,
Dayton OH,
Norfolk-Portsmouth-Newport News VA,
Greenville-New Bern-Washington NC,
West Palm Beach-Ft. Pierce FL,
Watertown NY,
Wilmington NC,
Presque Isle ME,
Marquette MI,
Wheeling WV-Steubenville OH,
Syracuse NY,
Richmond-Petersburg VA,
Knoxville TN,
Lima OH,
Bluefield-Beckley-Oak Hill WV,
Raleigh-Durham (Fayetteville) NC,
Jacksonville FL,
Grand Rapids-Kalamazoo-Battle Creek MI,
Charleston-Huntington WV,
Elmira NY,
Greenville-Spartanburg SC-Asheville NC-Anderson SC,
Harrisonburg VA,
Florence-Myrtle Beach SC,
Ft. Myers-Naples FL,
Roanoke-Lynchburg VA,
Johnstown-Altoona PA,
Chattanooga TN,
Salisbury MD,
Wilkes Barre-Scranton PA,
Terre Haute IN,
Lafayette IN,
Alpena MI,
Charlottesville VA,
South Bend-Elkhart IN,
Gainesville FL,
Zanesville OH,
Clarksburg-Weston WV,
Corpus Christi TX,
Chicago IL,
Joplin MO-Pittsburg KS,
Dothan AL,
St. Louis MO,
Rockford IL,
Rochester MN-Mason City IA-Austin MN,
Shreveport LA,
Minneapolis-St. Paul MN,
Springfield MO,
New Orleans LA,
Waco-Temple-Bryan TX,
Victoria TX,
Wichita Falls TX & Lawton OK,
Monroe LA-El Dorado AR,
Ottumwa IA-Kirksville MO,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,
Odessa-Midland TX,
Amarillo TX,
Austin TX,
Harlingen-Weslaco-Brownsville-McAllen TX,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,
St. Joseph MO,
Memphis TN,
San Antonio TX,
Lafayette LA,
Lake Charles LA,
Greenwood-Greenville MS,
Champaign & Springfield-Decatur IL,
Evansville IN,
Oklahoma City OK,
Omaha NE,
Panama City FL,
Sherman TX-Ada OK,
Nashville TN,
San Angelo TX,
Abilene-Sweetwater TX,
Madison WI,
Ft. Smith-Fayetteville-Springdale-Rogers AR,
Tulsa OK,
Columbus-Tupelo-West Point MS,
Peoria-Bloomington IL,
Wichita-Hutchinson KS,
Des Moines-Ames IA,
Davenport IA-Rock Island-Moline IL,
Minot-Bismarck-Dickinson(Williston) ND,
Beaumont-Port Arthur TX,
Little Rock-Pine Bluff AR,
Montgomery (Selma) AL,
La Crosse-Eau Claire WI,
Wausau-Rhinelander WI,
Meridian MS,
Baton Rouge LA,
Quincy IL-Hannibal MO-Keokuk IA,
Jackson MS,
Lincoln & Hastings-Kearney NE,
Fargo-Valley City ND,
Bowling Green KY,
North Platte NE,
Anchorage AK,
Fairbanks AK,
Biloxi-Gulfport MS,
Juneau AK,
Laredo TX,
Colorado Springs-Pueblo CO,
Butte-Bozeman MT,
Great Falls MT,
"Billings, MT",
Boise ID,
Cheyenne WY-Scottsbluff NE,
Twin Falls ID,
Missoula MT,
El Paso TX,
Helena MT,
Casper-Riverton WY,
Grand Junction-Montrose CO,
Tucson (Sierra Vista) AZ,
Albuquerque-Santa Fe NM,
Glendive MT,
Eugene OR,
Yakima-Pasco-Richland-Kennewick WA,
Bend OR,
