Category: All categories

DMA,food bank: (5/1/22 - 5/31/22)
Juneau AK,100
Lima OH,53
Lubbock TX,53
Missoula MT,49
Jonesboro AR,39
Twin Falls ID,37
Terre Haute IN,35
Casper-Riverton WY,33
Anchorage AK,29
San Angelo TX,29
Lincoln & Hastings-Kearney NE,28
Tucson (Sierra Vista) AZ,27
St. Joseph MO,27
Elmira NY,27
Yakima-Pasco-Richland-Kennewick WA,27
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,26
Wichita Falls TX & Lawton OK,26
Seattle-Tacoma WA,25
San Antonio TX,24
Eureka CA,24
Quincy IL-Hannibal MO-Keokuk IA,23
Yuma AZ-El Centro CA,23
Burlington VT-Plattsburgh NY,22
Victoria TX,22
Ft. Wayne IN,22
Palm Springs CA,20
Johnstown-Altoona PA,20
Medford-Klamath Falls OR,20
Monterey-Salinas CA,19
Amarillo TX,19
Chattanooga TN,19
Spokane WA,18
Wichita-Hutchinson KS,18
Phoenix AZ,18
Columbia-Jefferson City MO,18
Ft. Smith-Fayetteville-Springdale-Rogers AR,16
Laredo TX,16
Sacramento-Stockton-Modesto CA,16
Eugene OR,15
Des Moines-Ames IA,15
Tri-Cities TN-VA,15
Columbus OH,15
Cleveland-Akron (Canton) OH,15
Salisbury MD,15
Bakersfield CA,15
Tyler-Longview(Lufkin & Nacogdoches) TX,15
Lansing MI,15
Grand Junction-Montrose CO,15
Beaumont-Port Arthur TX,15
Denver CO,14
Peoria-Bloomington IL,14
Memphis TN,14
Rapid City SD,14
Rockford IL,14
Joplin MO-Pittsburg KS,14
Boise ID,14
Portland OR,14
Montgomery (Selma) AL,14
Florence-Myrtle Beach SC,14
Reno NV,14
Oklahoma City OK,14
Tulsa OK,14
Jackson TN,14
Erie PA,14
Bend OR,14
Biloxi-Gulfport MS,13
Houston TX,13
Ft. Myers-Naples FL,13
Austin TX,13
San Francisco-Oakland-San Jose CA,13
Indianapolis IN,13
Albany GA,13
Sioux City IA,13
Idaho Falls-Pocatello ID,13
Pittsburgh PA,13
Evansville IN,12
Bluefield-Beckley-Oak Hill WV,12
Springfield-Holyoke MA,12
Albuquerque-Santa Fe NM,12
Fargo-Valley City ND,12
Baltimore MD,12
Santa Barbara-Santa Maria-San Luis Obispo CA,12
Omaha NE,12
Columbia SC,12
Wilmington NC,12
Greensboro-High Point-Winston Salem NC,12
Alexandria LA,12
Norfolk-Portsmouth-Newport News VA,11
Lafayette IN,11
Dayton OH,11
Madison WI,11
Dallas-Ft. Worth TX,11
Abilene-Sweetwater TX,11
Rochester MN-Mason City IA-Austin MN,11
New Orleans LA,11
Honolulu HI,11
Champaign & Springfield-Decatur IL,11
Harrisburg-Lancaster-Lebanon-York PA,10
Raleigh-Durham (Fayetteville) NC,10
"Billings, MT",10
Little Rock-Pine Bluff AR,10
Toledo OH,10
Philadelphia PA,10
Macon GA,10
Richmond-Petersburg VA,10
Salt Lake City UT,10
Shreveport LA,10
Youngstown OH,9
Albany-Schenectady-Troy NY,9
Panama City FL,9
El Paso TX,9
Corpus Christi TX,9
Harrisonburg VA,9
Waco-Temple-Bryan TX,9
Fresno-Visalia CA,9
Portland-Auburn ME,9
Minot-Bismarck-Dickinson(Williston) ND,9
Roanoke-Lynchburg VA,9
Providence RI-New Bedford MA,9
South Bend-Elkhart IN,9
Sherman TX-Ada OK,8
Traverse City-Cadillac MI,8
Orlando-Daytona Beach-Melbourne FL,8
San Diego CA,8
Greenville-Spartanburg SC-Asheville NC-Anderson SC,8
Harlingen-Weslaco-Brownsville-McAllen TX,8
Atlanta GA,8
Bangor ME,8
Hartford & New Haven CT,8
Gainesville FL,7
Baton Rouge LA,7
Jacksonville FL,7
Tampa-St. Petersburg (Sarasota) FL,7
Monroe LA-El Dorado AR,7
Wilkes Barre-Scranton PA,7
Louisville KY,7
Syracuse NY,7
Chico-Redding CA,7
Colorado Springs-Pueblo CO,7
Nashville TN,7
Huntsville-Decatur (Florence) AL,7
Birmingham AL,7
Charlotte NC,7
Washington DC (Hagerstown MD),6
Charleston-Huntington WV,6
Las Vegas NV,6
Knoxville TN,6
Los Angeles CA,6
Lafayette LA,6
Boston MA-Manchester NH,6
Grand Rapids-Kalamazoo-Battle Creek MI,6
Charleston SC,6
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,6
Cincinnati OH,6
Tallahassee FL-Thomasville GA,6
New York NY,6
Detroit MI,6
Flint-Saginaw-Bay City MI,5
Milwaukee WI,5
Buffalo NY,5
Lexington KY,5
Greenville-New Bern-Washington NC,5
Chicago IL,5
Savannah GA,5
Odessa-Midland TX,5
Columbus GA,5
West Palm Beach-Ft. Pierce FL,5
Kansas City MO,5
Davenport IA-Rock Island-Moline IL,5
St. Louis MO,4
Minneapolis-St. Paul MN,4
Rochester NY,4
La Crosse-Eau Claire WI,4
Miami-Ft. Lauderdale FL,4
Mobile AL-Pensacola (Ft. Walton Beach) FL,4
Charlottesville VA,3
Green Bay-Appleton WI,2
Springfield MO,2
Zanesville OH,
North Platte NE,
Greenwood-Greenville MS,
Binghamton NY,
Augusta GA,
Utica NY,
Watertown NY,
Presque Isle ME,
Marquette MI,
Wheeling WV-Steubenville OH,
Alpena MI,
Parkersburg WV,
Clarksburg-Weston WV,
Topeka KS,
Dothan AL,
Ottumwa IA-Kirksville MO,
Lake Charles LA,
Columbus-Tupelo-West Point MS,
Duluth MN-Superior WI,
Wausau-Rhinelander WI,
Hattiesburg-Laurel MS,
Meridian MS,
Jackson MS,
Sioux Falls(Mitchell) SD,
Bowling Green KY,
Mankato MN,
Fairbanks AK,
Butte-Bozeman MT,
Great Falls MT,
Cheyenne WY-Scottsbluff NE,
Helena MT,
Glendive MT,
