Category: All categories

DMA,food bank: (6/1/22 - 6/30/22)
Lafayette IN,100
Jonesboro AR,72
Lubbock TX,67
Missoula MT,56
Tucson (Sierra Vista) AZ,55
Helena MT,54
Alexandria LA,50
Yuma AZ-El Centro CA,47
Lima OH,47
San Antonio TX,47
Odessa-Midland TX,45
Great Falls MT,44
Seattle-Tacoma WA,40
Ottumwa IA-Kirksville MO,39
Spokane WA,39
Grand Junction-Montrose CO,39
Lincoln & Hastings-Kearney NE,39
Chattanooga TN,36
Minot-Bismarck-Dickinson(Williston) ND,35
Sherman TX-Ada OK,34
Phoenix AZ,32
Johnstown-Altoona PA,31
Harlingen-Weslaco-Brownsville-McAllen TX,30
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,29
Eureka CA,29
Erie PA,29
Boise ID,29
Palm Springs CA,28
Yakima-Pasco-Richland-Kennewick WA,28
Davenport IA-Rock Island-Moline IL,28
Rochester MN-Mason City IA-Austin MN,27
Wichita Falls TX & Lawton OK,27
Salisbury MD,27
South Bend-Elkhart IN,26
Monroe LA-El Dorado AR,26
Corpus Christi TX,26
Jackson TN,26
Evansville IN,26
Portland OR,26
Cheyenne WY-Scottsbluff NE,26
"Billings, MT",25
Columbia-Jefferson City MO,25
Reno NV,25
Eugene OR,25
Houston TX,25
Joplin MO-Pittsburg KS,24
Bluefield-Beckley-Oak Hill WV,24
Norfolk-Portsmouth-Newport News VA,24
Memphis TN,24
Abilene-Sweetwater TX,23
Portland-Auburn ME,23
Savannah GA,23
Fairbanks AK,23
Denver CO,23
Sacramento-Stockton-Modesto CA,23
Pittsburgh PA,22
Columbus OH,22
Cleveland-Akron (Canton) OH,22
Anchorage AK,22
Champaign & Springfield-Decatur IL,22
Dallas-Ft. Worth TX,21
Utica NY,21
Harrisburg-Lancaster-Lebanon-York PA,21
Wichita-Hutchinson KS,21
Charleston SC,21
Montgomery (Selma) AL,21
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,21
Oklahoma City OK,20
Columbus GA,20
Beaumont-Port Arthur TX,20
Butte-Bozeman MT,20
Laredo TX,20
Albany-Schenectady-Troy NY,20
Tyler-Longview(Lufkin & Nacogdoches) TX,20
Youngstown OH,20
Greenville-Spartanburg SC-Asheville NC-Anderson SC,19
Amarillo TX,19
Bend OR,19
San Francisco-Oakland-San Jose CA,19
Ft. Smith-Fayetteville-Springdale-Rogers AR,19
Tulsa OK,19
Austin TX,19
Elmira NY,19
Monterey-Salinas CA,18
Fargo-Valley City ND,18
Lansing MI,18
Wausau-Rhinelander WI,18
Medford-Klamath Falls OR,18
Philadelphia PA,17
Rockford IL,17
Macon GA,17
Watertown NY,17
Dayton OH,17
Albuquerque-Santa Fe NM,17
Binghamton NY,16
Omaha NE,16
Baltimore MD,16
Duluth MN-Superior WI,16
Waco-Temple-Bryan TX,16
Shreveport LA,16
Ft. Myers-Naples FL,16
Salt Lake City UT,16
Toledo OH,16
Idaho Falls-Pocatello ID,16
Fresno-Visalia CA,16
Colorado Springs-Pueblo CO,15
Lafayette LA,15
La Crosse-Eau Claire WI,15
El Paso TX,15
Panama City FL,15
Springfield-Holyoke MA,15
Peoria-Bloomington IL,15
Nashville TN,15
Flint-Saginaw-Bay City MI,15
Tri-Cities TN-VA,15
Indianapolis IN,15
Burlington VT-Plattsburgh NY,15
Little Rock-Pine Bluff AR,15
Columbia SC,15
Syracuse NY,14
Raleigh-Durham (Fayetteville) NC,14
Hattiesburg-Laurel MS,14
San Diego CA,14
New Orleans LA,14
Des Moines-Ames IA,14
Springfield MO,13
Knoxville TN,13
Greensboro-High Point-Winston Salem NC,13
Atlanta GA,13
Ft. Wayne IN,13
Las Vegas NV,13
Honolulu HI,13
Richmond-Petersburg VA,12
Boston MA-Manchester NH,12
Roanoke-Lynchburg VA,12
Charleston-Huntington WV,12
Orlando-Daytona Beach-Melbourne FL,12
Augusta GA,12
Huntsville-Decatur (Florence) AL,11
Washington DC (Hagerstown MD),11
Chicago IL,11
Madison WI,11
Tampa-St. Petersburg (Sarasota) FL,11
Lexington KY,11
Florence-Myrtle Beach SC,11
Santa Barbara-Santa Maria-San Luis Obispo CA,11
Charlotte NC,11
Hartford & New Haven CT,11
Jacksonville FL,11
Harrisonburg VA,11
Los Angeles CA,11
Baton Rouge LA,10
Kansas City MO,10
Grand Rapids-Kalamazoo-Battle Creek MI,10
West Palm Beach-Ft. Pierce FL,10
Detroit MI,10
Wilkes Barre-Scranton PA,10
Birmingham AL,9
Providence RI-New Bedford MA,9
Wilmington NC,9
Louisville KY,9
Tallahassee FL-Thomasville GA,9
Columbus-Tupelo-West Point MS,8
Miami-Ft. Lauderdale FL,8
Minneapolis-St. Paul MN,7
Milwaukee WI,7
Albany GA,7
Sioux Falls(Mitchell) SD,7
New York NY,7
Cincinnati OH,7
Bangor ME,7
Rochester NY,7
Buffalo NY,7
St. Louis MO,7
Bakersfield CA,6
Traverse City-Cadillac MI,5
Green Bay-Appleton WI,5
Mobile AL-Pensacola (Ft. Walton Beach) FL,3
Meridian MS,
Zanesville OH,
Greenwood-Greenville MS,
Greenville-New Bern-Washington NC,
Presque Isle ME,
Marquette MI,
Wheeling WV-Steubenville OH,
Terre Haute IN,
Alpena MI,
Charlottesville VA,
Gainesville FL,
Parkersburg WV,
Clarksburg-Weston WV,
Topeka KS,
Dothan AL,
Sioux City IA,
Victoria TX,
St. Joseph MO,
Lake Charles LA,
San Angelo TX,
Quincy IL-Hannibal MO-Keokuk IA,
Jackson MS,
Bowling Green KY,
Mankato MN,
North Platte NE,
Biloxi-Gulfport MS,
Juneau AK,
Twin Falls ID,
Rapid City SD,
Casper-Riverton WY,
Glendive MT,
Chico-Redding CA,
