Category: All categories

DMA,food bank: (12/1/22 - 12/31/22)
Lubbock TX,100
Fairbanks AK,99
Helena MT,83
Missoula MT,77
Grand Junction-Montrose CO,76
Tucson (Sierra Vista) AZ,76
Lima OH,64
Seattle-Tacoma WA,63
San Antonio TX,63
Lafayette IN,60
St. Joseph MO,53
Yakima-Pasco-Richland-Kennewick WA,53
Boise ID,52
Anchorage AK,52
Clarksburg-Weston WV,51
Phoenix AZ,50
Columbia-Jefferson City MO,48
Elmira NY,44
Lake Charles LA,44
Eureka CA,43
Spokane WA,42
Monterey-Salinas CA,41
Reno NV,41
Chattanooga TN,41
Harrisonburg VA,40
Great Falls MT,39
Victoria TX,39
Ft. Wayne IN,39
Denver CO,36
Memphis TN,35
Amarillo TX,35
Johnstown-Altoona PA,35
Jonesboro AR,34
Corpus Christi TX,34
Peoria-Bloomington IL,34
Des Moines-Ames IA,34
Palm Springs CA,34
Wichita Falls TX & Lawton OK,34
Portland OR,33
San Francisco-Oakland-San Jose CA,33
Evansville IN,33
Duluth MN-Superior WI,33
Rapid City SD,33
Ft. Smith-Fayetteville-Springdale-Rogers AR,32
Salisbury MD,32
Lincoln & Hastings-Kearney NE,32
Bluefield-Beckley-Oak Hill WV,32
"Billings, MT",32
Sacramento-Stockton-Modesto CA,32
Laredo TX,32
Oklahoma City OK,31
Albany GA,31
Lansing MI,31
Wichita-Hutchinson KS,30
Houston TX,30
Davenport IA-Rock Island-Moline IL,30
Tyler-Longview(Lufkin & Nacogdoches) TX,30
Pittsburgh PA,30
Harrisburg-Lancaster-Lebanon-York PA,29
Bowling Green KY,29
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,29
Fargo-Valley City ND,28
Albuquerque-Santa Fe NM,28
Augusta GA,28
Ft. Myers-Naples FL,28
Odessa-Midland TX,28
Burlington VT-Plattsburgh NY,28
Omaha NE,28
Sioux City IA,27
Binghamton NY,27
Tri-Cities TN-VA,27
Cleveland-Akron (Canton) OH,27
Dothan AL,27
Waco-Temple-Bryan TX,26
Beaumont-Port Arthur TX,26
Salt Lake City UT,26
Chico-Redding CA,26
Dayton OH,26
Rochester MN-Mason City IA-Austin MN,25
Macon GA,25
Baltimore MD,25
San Diego CA,25
Eugene OR,25
Rockford IL,25
Raleigh-Durham (Fayetteville) NC,24
Honolulu HI,24
Dallas-Ft. Worth TX,24
Knoxville TN,24
Austin TX,24
Santa Barbara-Santa Maria-San Luis Obispo CA,24
Lafayette LA,23
Butte-Bozeman MT,23
Charleston SC,23
Greensboro-High Point-Winston Salem NC,23
New Orleans LA,23
Columbus OH,23
Baton Rouge LA,23
Greenville-Spartanburg SC-Asheville NC-Anderson SC,23
Florence-Myrtle Beach SC,22
Richmond-Petersburg VA,22
Monroe LA-El Dorado AR,22
Bend OR,22
Abilene-Sweetwater TX,22
Tulsa OK,22
Little Rock-Pine Bluff AR,22
Flint-Saginaw-Bay City MI,22
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,21
Norfolk-Portsmouth-Newport News VA,21
Springfield-Holyoke MA,21
Idaho Falls-Pocatello ID,21
Quincy IL-Hannibal MO-Keokuk IA,21
Syracuse NY,20
Madison WI,20
South Bend-Elkhart IN,20
Erie PA,20
Joplin MO-Pittsburg KS,20
El Paso TX,20
Louisville KY,19
Colorado Springs-Pueblo CO,19
Lexington KY,19
Columbia SC,18
Youngstown OH,18
Portland-Auburn ME,18
Albany-Schenectady-Troy NY,18
Nashville TN,18
Atlanta GA,18
