Category: All categories

DMA,food bank: (2/1/22 - 2/28/22)
Casper-Riverton WY,100
Missoula MT,85
Grand Junction-Montrose CO,72
Lima OH,55
Dothan AL,54
Yakima-Pasco-Richland-Kennewick WA,52
Fairbanks AK,50
Joplin MO-Pittsburg KS,48
Minot-Bismarck-Dickinson(Williston) ND,47
San Antonio TX,46
Seattle-Tacoma WA,46
Lubbock TX,45
Butte-Bozeman MT,43
Elmira NY,40
Albany GA,39
Ft. Wayne IN,39
Bluefield-Beckley-Oak Hill WV,38
"Billings, MT",37
Anchorage AK,36
Odessa-Midland TX,36
Lincoln & Hastings-Kearney NE,33
Palm Springs CA,33
Boise ID,33
Great Falls MT,33
Amarillo TX,32
Memphis TN,32
Idaho Falls-Pocatello ID,32
Alexandria LA,32
Phoenix AZ,31
Sioux City IA,30
Spokane WA,30
Fresno-Visalia CA,30
Parkersburg WV,29
Chattanooga TN,29
Monterey-Salinas CA,29
Tyler-Longview(Lufkin & Nacogdoches) TX,28
South Bend-Elkhart IN,28
Erie PA,27
Bend OR,26
Tucson (Sierra Vista) AZ,26
Davenport IA-Rock Island-Moline IL,26
Denver CO,26
Rochester MN-Mason City IA-Austin MN,26
Albany-Schenectady-Troy NY,26
Lafayette IN,26
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,25
Sacramento-Stockton-Modesto CA,24
Marquette MI,24
Bakersfield CA,23
Columbia-Jefferson City MO,23
Dayton OH,23
Rapid City SD,22
Reno NV,22
Johnstown-Altoona PA,22
Twin Falls ID,22
Baton Rouge LA,21
Des Moines-Ames IA,21
Houston TX,21
Portland OR,21
Abilene-Sweetwater TX,21
Wichita Falls TX & Lawton OK,20
Dallas-Ft. Worth TX,20
San Francisco-Oakland-San Jose CA,20
Burlington VT-Plattsburgh NY,20
Cleveland-Akron (Canton) OH,19
Wilmington NC,19
Pittsburgh PA,19
Lansing MI,19
Laredo TX,19
Birmingham AL,19
Evansville IN,18
Wilkes Barre-Scranton PA,18
Ft. Smith-Fayetteville-Springdale-Rogers AR,17
Mobile AL-Pensacola (Ft. Walton Beach) FL,17
Savannah GA,17
Harrisburg-Lancaster-Lebanon-York PA,17
Tulsa OK,17
Peoria-Bloomington IL,17
Beaumont-Port Arthur TX,17
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,17
Waco-Temple-Bryan TX,17
Ft. Myers-Naples FL,17
Oklahoma City OK,17
Springfield-Holyoke MA,16
Columbus OH,16
Wausau-Rhinelander WI,16
Salisbury MD,16
Providence RI-New Bedford MA,16
Honolulu HI,16
Tri-Cities TN-VA,16
Lexington KY,16
Corpus Christi TX,15
Salt Lake City UT,15
Greensboro-High Point-Winston Salem NC,15
Wichita-Hutchinson KS,15
El Paso TX,15
