Category: All categories

DMA,food bank: (3/1/22 - 3/31/22)
Missoula MT,100
Lubbock TX,96
Ottumwa IA-Kirksville MO,93
Binghamton NY,88
St. Joseph MO,77
Twin Falls ID,77
Odessa-Midland TX,74
Minot-Bismarck-Dickinson(Williston) ND,74
Lima OH,72
San Antonio TX,69
Seattle-Tacoma WA,68
Fairbanks AK,67
Rockford IL,61
Salisbury MD,56
Abilene-Sweetwater TX,54
Palm Springs CA,53
Tucson (Sierra Vista) AZ,51
Parkersburg WV,50
Lafayette IN,49
Helena MT,46
Boise ID,46
Eureka CA,46
Wichita Falls TX & Lawton OK,45
Ft. Wayne IN,45
Utica NY,44
"Billings, MT",44
Cheyenne WY-Scottsbluff NE,43
Anchorage AK,42
Spokane WA,42
Sioux City IA,42
Reno NV,41
Butte-Bozeman MT,40
Santa Barbara-Santa Maria-San Luis Obispo CA,40
Ft. Smith-Fayetteville-Springdale-Rogers AR,40
Phoenix AZ,40
Jackson TN,39
Waco-Temple-Bryan TX,39
Tri-Cities TN-VA,38
Lincoln & Hastings-Kearney NE,37
Sacramento-Stockton-Modesto CA,37
Sherman TX-Ada OK,36
Casper-Riverton WY,36
Portland OR,36
Houston TX,36
Medford-Klamath Falls OR,34
Pittsburgh PA,34
Monterey-Salinas CA,34
Harrisonburg VA,33
Lansing MI,33
Harrisburg-Lancaster-Lebanon-York PA,33
Evansville IN,33
Wichita-Hutchinson KS,33
Cleveland-Akron (Canton) OH,33
Corpus Christi TX,33
Marquette MI,32
Albany-Schenectady-Troy NY,32
Watertown NY,32
Yuma AZ-El Centro CA,32
Terre Haute IN,32
Yakima-Pasco-Richland-Kennewick WA,31
Columbia-Jefferson City MO,31
Denver CO,31
Erie PA,30
San Francisco-Oakland-San Jose CA,30
Tyler-Longview(Lufkin & Nacogdoches) TX,29
Oklahoma City OK,29
San Angelo TX,29
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,28
Honolulu HI,28
Laredo TX,28
Alexandria LA,28
Columbus GA,28
Albany GA,28
Harlingen-Weslaco-Brownsville-McAllen TX,27
Dallas-Ft. Worth TX,27
Austin TX,27
Johnstown-Altoona PA,27
Burlington VT-Plattsburgh NY,27
San Diego CA,26
Charleston-Huntington WV,26
New Orleans LA,26
Charleston SC,26
Fargo-Valley City ND,26
Des Moines-Ames IA,26
Raleigh-Durham (Fayetteville) NC,25
South Bend-Elkhart IN,25
Bend OR,25
Nashville TN,25
Norfolk-Portsmouth-Newport News VA,25
Flint-Saginaw-Bay City MI,25
Albuquerque-Santa Fe NM,25
Lafayette LA,25
Omaha NE,25
Dothan AL,25
Bangor ME,24
Rochester MN-Mason City IA-Austin MN,24
Baton Rouge LA,24
